name,college,team_name,gdp
Buddy Hield Chavano Rainer,Oklahoma Sooners,Golden State Warriors,$729 billion
Kyrie Irving,Duke Blue Devils,Dallas Mavericks,
Jayson Tatum,Duke Blue Devils,Boston Celtics,
Andrew Christian Wiggins,University of Kansas,Golden State Warriors,$729 billion
Jaylen Marselles Brown,"University of California, Berkeley",Boston Celtics,
Victor Wembanyama,,San Antonio Spurs,$121 billion
Jrue Holiday,UCLA,Boston Celtics,
Kevin Wesley Love,UCLA Bruins,Miami Heat,344900000000.0
Giannis Antetokounmpo,Filathlitikos,Milwaukee Bucks,10200000000.0
Wardell Stephen Curry II,Davidson,Golden State Warriors,$729 billion
Al Horford,University of Florida,Boston Celtics,
Tyler Herro,University of Kentucky,Miami Heat,344900000000.0
Duncan McBryde Robinson,"Williams College Ephs, Michigan Wolverines",Miami Heat,344900000000.0
Kyle Anderson,UCLA Bruins,Golden State Warriors,$729 billion
Jimmy Butler III,Tyler Junior College,Miami Heat,344900000000.0
Kevon Looney,UCLA Bruins,Golden State Warriors,$729 billion
Zach LaVine,UCLA Bruins,Chicago Bulls,689000000000.0
Devin Armani Booker,University of Kentucky,Phoenix Suns,$362 billion
Brandan Keith Wright,University of North Carolina at Chapel Hill,Golden State Warriors,$729 billion
Draymond Jamal Green,Michigan State University,Golden State Warriors,$729 billion
Zach Collins,Gonzaga Bulldogs,San Antonio Spurs,$121 billion
Jonathan Malangu Kuminga,,Golden State Warriors,$729 billion
Lonzo Anderson Ball,UCLA Bruins,Chicago Bulls,689000000000.0
Jaime Jaquez Jr.,UCLA Bruins,Miami Heat,344900000000.0
Shaquille Rashaun O'Neal,LSU,Sacramento Kings,
Christopher Emmanuel Paul,Wake Forest University,San Antonio Spurs,$121 billion
Harrison Bryce Jordan Barnes,University of North Carolina at Chapel Hill,San Antonio Spurs,$121 billion
Bam Adebayo,University of Kentucky,Miami Heat,344900000000.0
Jay Fletcher Vincent,Michigan State University,Dallas Mavericks,
Anthony Avent,Seton Hall University,Milwaukee Bucks,10200000000.0
Vernon Maxwell,University of Florida,Houston Rockets,
Timothy Theodore Duncan,Wake Forest University,San Antonio Spurs,$121 billion
Derrick Joseph Chievous,University of Missouri,Houston Rockets,
Rik Smits,Marist College,Indiana Pacers,29th largest metropolitan economy in the U.S.
Anthony Edwards,Georgia Bulldogs,Minnesota Timberwolves,69397.0
Mark Price William Mark Price,Georgia Tech,Cleveland Cavaliers,$176 billion
William Bedford,Memphis State University,Phoenix Suns,$362 billion
"Dewayne ""D. J."" White, Jr.",Indiana Hoosiers,Cleveland Cavaliers,$176 billion
,University of Arizona,Phoenix Suns,$362 billion
Jordan Lee Crawford,Indiana University,Golden State Warriors,$729 billion
John Harding Lucas II,University of Maryland,Houston Rockets,
Garfield Smith,,Boston Celtics,
Dennis Schröder,,Toronto Raptors,
Trayce Jackson-Davis,Indiana,Golden State Warriors,$729 billion
