city_name,state_name,team_name,name
San Francisco,California,Golden State Warriors,Buddy Hield Chavano Rainer
Dallas,Texas,Dallas Mavericks,Kyrie Irving
Boston,Massachusetts,Boston Celtics,Jayson Tatum
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Boston,Massachusetts,Boston Celtics,Jrue Holiday
Miami,Florida,Miami Heat,Kevin Wesley Love
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II
Boston,Massachusetts,Boston Celtics,Al Horford
Miami,Florida,Miami Heat,Tyler Herro
Miami,Florida,Miami Heat,Duncan McBryde Robinson
San Francisco,California,Golden State Warriors,Kyle Anderson
Miami,Florida,Miami Heat,Jimmy Butler III
San Francisco,California,Golden State Warriors,Kevon Looney
Chicago,Illinois,Chicago Bulls,Zach LaVine
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker
San Francisco,California,Golden State Warriors,Draymond Jamal Green
San Francisco,California,Golden State Warriors,Jonathan Malangu Kuminga
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
Miami,Florida,Miami Heat,Bam Adebayo
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
San Francisco,California,Golden State Warriors,Jordan Lee Crawford
Houston,Texas,Houston Rockets,John Harding Lucas II
Boston,Massachusetts,Boston Celtics,Garfield Smith
Toronto,Ontario,Toronto Raptors,Dennis Schröder
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis
