city_name,state_name,team_name,name,college
Los Angeles,California,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,Michigan State Spartans
Orlando,Florida,Orlando Magic,Mark Price,Georgia Tech
Milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
Sacramento,California,Sacramento Kings,Derek Grimm,University of Missouri
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky
Houston,Texas,Houston Rockets,Brandan Keith Wright,University of North Carolina at Chapel Hill
New York City,New York,New York Knicks,"Kenneth ""Apple"" Green",Pan American University
New York City,New York,New York Knicks,Don Anielak,Southwest Missouri State University
Los Angeles,California,Los Angeles Lakers,Philip Douglas Jackson,University of North Dakota
Philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon,UCLA
Detroit,Michigan,Detroit Pistons,Jarrett Jack,Georgia Tech
Philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen,Temple University
Los Angeles,California,Los Angeles Lakers,Magic Johnson,Michigan State
Boston,Massachusetts,Boston Celtics,Stanley M. Noszka,
Detroit,Michigan,Detroit Pistons,Isiah Thomas,Indiana Hoosiers
Portland,Oregon,Portland Trail Blazers,Dan Anderson,
Chicago,Illinois,Chicago Bulls,Trent Tucker,University of Minnesota
Phoenix,Arizona,Phoenix Suns,Miles Julian Simon,University of Arizona
Milwaukee,Wisconsin,Milwaukee Bucks,Guy William Rodgers,Temple University
Dallas,Texas,Dallas Mavericks,Vernon Maxwell,University of Florida
San Antonio,Texas,San Antonio Spurs,Tim Duncan,Wake Forest University
New York City,New York,New York Knicks,Calvin Ramsey,NYU
Cleveland,Ohio,Cleveland Cavaliers,Derrick Chievous,University of Missouri
Indianapolis,Indiana,Indiana Pacers,Rik Smits,Marist College
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
Detroit,Michigan,Detroit Pistons,"Harry Junior ""The Horse"" Gallatin",Northeast Missouri State Teachers' College
San Francisco,California,Golden State Warriors,Darnell Hillman,San Jose State University
New York City,New York,New York Knicks,Kurt Thomas,Texas Christian University
Phoenix,Arizona,Phoenix Suns,Kevin Wayne Durant,University of Texas at Austin
Los Angeles,California,Los Angeles Clippers,Aaron Williams,Xavier University
Toronto,Ontario,Toronto Raptors,Nathaniel Thomas Huffman,Central Michigan University
Houston,Texas,Houston Rockets,Rodney Strickland,DePaul University
Memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens,Penn State Nittany Lions
San Francisco,California,Golden State Warriors,Steve Kerr,University of Arizona
Indianapolis,Indiana,Indiana Pacers,Gregory Clinton Foster,UTEP
Los Angeles,California,Los Angeles Lakers,Bill Hewitt,University of Southern California
Portland,Oregon,Portland Trail Blazers,Jabari Dominic Walker,Colorado
San Francisco,California,Golden State Warriors,Kermit Washington,American University
New York City,New York,New York Knicks,Greg Fillmore Gregory Paul Fillmore,Cheyney University of Pennsylvania
Houston,Texas,Houston Rockets,John Harding Lucas II,University of Maryland
Boston,Massachusetts,Boston Celtics,Garfield Smith,
Dallas,Texas,Dallas Mavericks,"Monti Davis DaMon William ""Monti"" Davis",Tennessee State University
Salt Lake City,Utah,Utah Jazz,Eric Johnson Jones,
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
Philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond,University of Connecticut
San Francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid,University of Kansas
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State
Dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving,Duke University
Boston,Massachusetts,Boston Celtics,Jayson Christopher Tatum,Duke University
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack"
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler,Rice Owls
New York City,New York,New York Knicks,"Ogugua ""OG"" Anunoby Jr.",Indiana University
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley"
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama,
Boston,Massachusetts,Boston Celtics,Jrue Randall Holiday,UCLA
Los Angeles,California,Los Angeles Lakers,Austin Tyler Reaves,"Wichita State Shockers, Oklahoma Sooners"
Miami,Florida,Miami Heat,Kevin Wesley Love,UCLA
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson
Boston,Massachusetts,Boston Celtics,Alfred Joel Horford Reynoso,University of Florida
Miami,Florida,Miami Heat,Tyler Christopher Herro,University of Kentucky
Miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
San Francisco,California,Golden State Warriors,Kyle Forman Anderson,UCLA
Detroit,Michigan,Detroit Pistons,Cade Parker Cunningham,Oklahoma State
Los Angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,
Miami,Florida,Miami Heat,Jimmy Butler III,Marquette University
San Francisco,California,Golden State Warriors,Kevon Grant Looney,UCLA
Chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine,UCLA
Detroit,Michigan,Detroit Pistons,Jaden Edward Dhananjay Ivey,Purdue
Philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry,Villanova Wildcats
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker,Kentucky Wildcats
San Francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State University
San Antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga Bulldogs
San Francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
Detroit,Michigan,Detroit Pistons,Ausar XLNC Thompson,
New York City,New York,New York Knicks,Jalen Marquis Brunson,Villanova University
Boston,Massachusetts,Boston Celtics,Shaquille Rashaun O'Neal,Louisiana State University (LSU)
Los Angeles,California,Los Angeles Lakers,Kobe Bean Bryant,
San Antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,North Carolina Tar Heels
Miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo",University of Kentucky
