name,birth_date,team_name,area,city.id,id,player.id,team.id
aaron williams,1971/10/2,Utah Jazz,14.2,,,,
andrew christian wiggins,1995/2/23,Golden State Warriors,46.9,,,,
anthony edwards,1999/8/5,Minnesota Timberwolves,152.8,,,,
christopher emmanuel paul,1985/5/6,San Antonio Spurs,1205.4,,,,
darnell hillman,1949/8/29,Indiana Pacers,368.0,,,,
devin armani booker,1996/10/30,Phoenix Suns,1341.0,,,,
draymond jamal green,1990/3/4,Golden State Warriors,46.9,,,,
giannis sina ugo antetokounmpo,1994/12/6,Milwaukee Bucks,250.71,,,,
greg fillmore gregory paul fillmore,1947/3/7,New York Knicks,300.46,,,,
harrison bryce jordan barnes,1992/5/30,San Antonio Spurs,1205.4,,,,
"harry junior ""the horse"" gallatin",1927/4/26,New York Knicks,300.46,,,,
jabari dominic walker,2002/7/30,Portland Trail Blazers,375.78,,,,
jalen marquis brunson,1996/8/31,New York Knicks,300.46,,,,
jarrett jack,1983/10/28,New York Knicks,300.46,,,,
jaylen marselles brown,1996/10/24,Boston Celtics,125.0,,,,
jayson christopher tatum,1998/3/3,Boston Celtics,125.0,,,,
jonathan malangu kuminga,2002/10/6,Golden State Warriors,46.9,,,,
jrue randall holiday,1990/6/12,Boston Celtics,125.0,,,,
"kenneth ""apple"" green",1959/9/19,New York Knicks,300.46,,,,
kevin wayne durant,1988/9/29,Phoenix Suns,1341.0,,,,
kevon grant looney,1996/2/6,Golden State Warriors,46.9,,,,
kurt thomas,1972/10/4,New York Knicks,300.46,,,,
kyle forman anderson,1993/9/20,Golden State Warriors,46.9,,,,
kyrie andrew irving,1992/3/23,Dallas Mavericks,385.8,,,,
"ogugua ""og"" anunoby",1997/7/17,New York Knicks,300.46,,,,
rik smits,1966/8/23,Indiana Pacers,368.0,,,,
rodney strickland,1966/7/11,New York Knicks,300.46,,,,
trayce jackson-davis,2000/2/22,Golden State Warriors,46.9,,,,
vernon maxwell,1965/9/12,Houston Rockets,637.4,,,,
victor wembanyama,2004/1/4,San Antonio Spurs,1205.4,,,,
wardell stephen curry,1988/3/14,Golden State Warriors,46.9,,,,
zach collins,1997/11/19,San Antonio Spurs,1205.4,,,,
