team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Golden State Warriors,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Los Angeles Clippers,Los Angeles,Los Angeles,California
Memphis Grizzlies,Memphis,Memphis,Tennessee
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Boston Celtics,Boston,Boston,Massachusetts
New York Knicks,New York City,New York City,New York
Thunder,Oklahoma City,Oklahoma City,Oklahoma
Orlando Magic,Orlando,Orlando,Florida
Phoenix Suns,Phoenix,Phoenix,Arizona
Portland Trail Blazers,Portland,Portland,Oregon
Sacramento Kings,Sacramento,Sacramento,California
San Antonio Spurs,San Antonio,San Antonio,Texas
Toronto Raptors,Toronto,Toronto,Ontario
Utah Jazz,Salt Lake City,Salt Lake City,Utah
Brooklyn Nets,New York City,New York City,New York
Washington Wizards,"Washington, D.C.","Washington, D.C.",District of Columbia
Chicago Bulls,Chicago,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Cleveland,Ohio
Dallas Mavericks,Dallas,Dallas,Texas
Denver Nuggets,Denver,Denver,Colorado
