name,nationality,age,team_name,location
Jay Vincent Jay Fletcher Vincent,American,66,Los Angeles Lakers,Los Angeles
Mark Price,American,61,Orlando Magic,Orlando
Erick Strickland,American,51,Milwaukee Bucks,Milwaukee
Derek Grimm,American,51,Sacramento Kings,Sacramento
Anthony Marshon Davis Jr.,American,32,Los Angeles Lakers,Los Angeles
Brandan Keith Wright,American,37,Houston Rockets,Houston
"Kenneth ""Apple"" Green",American,66,New York Knicks,New York City
Don Anielak,American,95,New York Knicks,New York City
Philip Douglas Jackson,American,80,Los Angeles Lakers,Los Angeles
Drew Edward Gordon,American,33,Philadelphia 76ers,Philadelphia
Jarrett Jack,American,41,Detroit Pistons,Detroit
Lavoy Allen,American,36,Philadelphia 76ers,Philadelphia
Magic Johnson,American,66,Los Angeles Lakers,Los Angeles
Stanley M. Noszka,,105,Boston Celtics,Boston
Isiah Thomas,American,64,Detroit Pistons,Detroit
Dan Anderson,American,74,Portland Trail Blazers,Portland
Trent Tucker,American,65,Chicago Bulls,Chicago
Miles Julian Simon,American,49,Phoenix Suns,Phoenix
Guy William Rodgers,American,90,Milwaukee Bucks,Milwaukee
Vernon Maxwell,American,60,Dallas Mavericks,Dallas
Tim Duncan,American,50,San Antonio Spurs,San Antonio
Calvin Ramsey,American,88,New York Knicks,New York City
Derrick Chievous,American,58,Cleveland Cavaliers,Cleveland
Rik Smits,Dutch,59,Indiana Pacers,Indianapolis
Anthony Edwards,American,24,Minnesota Timberwolves,Minneapolis
"Harry Junior ""The Horse"" Gallatin",American,98,Detroit Pistons,Detroit
Darnell Hillman,American,76,Golden State Warriors,San Francisco
Kurt Thomas,American,53,New York Knicks,New York City
Kevin Wayne Durant,American,37,Phoenix Suns,Phoenix
Aaron Williams,American,54,Los Angeles Clippers,Los Angeles
Nathaniel Thomas Huffman,American,50,Toronto Raptors,Toronto
Rodney Strickland,American,59,Houston Rockets,Houston
Lamar Brandon Stevens,American,28,Memphis Grizzlies,Memphis
Steve Kerr,American,60,Golden State Warriors,San Francisco
Gregory Clinton Foster,American,57,Indiana Pacers,Indianapolis
Bill Hewitt,American,81,Los Angeles Lakers,Los Angeles
Jabari Dominic Walker,American,23,Portland Trail Blazers,Portland
Jamal Crawford,American,45,Brooklyn Nets,Brooklyn
Kermit Washington,American,74,Golden State Warriors,San Francisco
Greg Fillmore Gregory Paul Fillmore,American,78,New York Knicks,New York City
John Harding Lucas II,American,72,Houston Rockets,Houston
Garfield Smith,American,80,Boston Celtics,Boston
Dennis Schr?der,German,32,Brooklyn Nets,Brooklyn
"Monti Davis DaMon William ""Monti"" Davis",American,67,Dallas Mavericks,Dallas
Eric Johnson Jones,American-Spanish,59,Utah Jazz,Salt Lake City
Trayce Jackson-Davis,American,25,Golden State Warriors,San Francisco
Andre Jamal Drummond,American,32,Philadelphia 76ers,Philadelphia
"Chavano Rainer ""Buddy"" Hield",Bahamian,33,Golden State Warriors,San Francisco
D'Angelo Russell,American,29,Los Angeles Lakers,Los Angeles
Joel Hans Embiid,Cameroonian-American,31,Philadelphia 76ers,Philadelphia
Paul Clifton Anthony George,American,35,Philadelphia 76ers,Philadelphia
Kyrie Andrew Irving,American,33,Dallas Mavericks,Dallas
Jayson Christopher Tatum,American,27,Boston Celtics,Boston
Caleb Martin,American,30,Philadelphia 76ers,Philadelphia
Andrew Christian Wiggins,Canadian,30,Golden State Warriors,San Francisco
Max Berning Fiedler,American,24,Philadelphia 76ers,Philadelphia
"Ogugua ""OG"" Anunoby Jr.",British,28,New York Knicks,New York City
Jaylen Marselles Brown,American,29,Boston Celtics,Boston
Victor Wembanyama,French,21,San Antonio Spurs,San Antonio
Jrue Randall Holiday,American,35,Boston Celtics,Boston
Austin Tyler Reaves,American,27,Los Angeles Lakers,Los Angeles
Kevin Wesley Love,American,37,Miami Heat,Miami
Giannis Sina Ugo Antetokounmpo,Greek and Nigerian,31,Milwaukee Bucks,Milwaukee
Wardell Stephen Curry II,American,37,Golden State Warriors,San Francisco
Alfred Joel Horford Reynoso,Dominican,39,Boston Celtics,Boston
Tyler Christopher Herro,American,25,Miami Heat,Miami
Duncan McBryde Robinson,American,31,Miami Heat,Miami
Kyle Forman Anderson,American-Chinese,33,Golden State Warriors,San Francisco
Cade Parker Cunningham,American,24,Detroit Pistons,Detroit
LeBron Raymone James Sr.,American,40,Los Angeles Lakers,Los Angeles
Jimmy Butler III,American,36,Miami Heat,Miami
Kevon Grant Looney,American,29,Golden State Warriors,San Francisco
Zachary Thomas LaVine,American,30,Chicago Bulls,Chicago
Jaden Edward Dhananjay Ivey,American,23,Detroit Pistons,Detroit
Kyle Terrell Lowry,American,39,Philadelphia 76ers,Philadelphia
Devin Armani Booker,American,28,Phoenix Suns,Phoenix
Draymond Jamal Green,American,35,Golden State Warriors,San Francisco
Zach Collins,American,28,San Antonio Spurs,San Antonio
Jonathan Malangu Kuminga,Congolese,23,Golden State Warriors,San Francisco
Lonzo Anderson Ball,American,28,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,24,Miami Heat,Miami
Ausar XLNC Thompson,American,22,Detroit Pistons,Detroit
Jalen Marquis Brunson,American,29,New York Knicks,New York City
Shaquille Rashaun O'Neal,American,53,Boston Celtics,Boston
Kobe Bean Bryant,American,47,Los Angeles Lakers,Los Angeles
Christopher Emmanuel Paul,American,40,San Antonio Spurs,San Antonio
Harrison Bryce Jordan Barnes,American,33,San Antonio Spurs,San Antonio
"Edrice Femi ""Bam"" Adebayo",American,28,Miami Heat,Miami
