name,college,team_name,gdp
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,252200
anthony edwards,Georgia,Minnesota Timberwolves,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,
darnell hillman,San Jose State University,Golden State Warriors,252200
devin armani booker,Kentucky Wildcats,Phoenix Suns,362000
draymond jamal green,Michigan State University,Golden State Warriors,252200
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344.9
giannis sina ugo antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
greg fillmore gregory paul fillmore,Cheyney University of Pennsylvania,New York Knicks,
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,
"harry junior ""the horse"" gallatin",Northeast Missouri State Teachers' College,Detroit Pistons,
jabari dominic walker,Colorado,Portland Trail Blazers,
jaime jaquez,UCLA,Miami Heat,344.9
jalen marquis brunson,Villanova University,New York Knicks,
jarrett jack,Georgia Tech,Detroit Pistons,
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,
jayson christopher tatum,Duke University,Boston Celtics,
jimmy butler,Marquette University,Miami Heat,344.9
jonathan malangu kuminga,,Golden State Warriors,252200
jrue randall holiday,UCLA,Boston Celtics,
"kenneth ""apple"" green",Pan American University,New York Knicks,
kevin wayne durant,University of Texas at Austin,Phoenix Suns,362000
kevin wesley love,UCLA,Miami Heat,344.9
kevon grant looney,UCLA,Golden State Warriors,252200
kyle forman anderson,UCLA,Golden State Warriors,252200
kyrie andrew irving,Duke University,Dallas Mavericks,
lonzo anderson ball,UCLA,Chicago Bulls,689000
mark price,Georgia Tech,Orlando Magic,
"ogugua ""og"" anunoby",Indiana University,New York Knicks,
rik smits,Marist College,Indiana Pacers,
rodney strickland,DePaul University,Houston Rockets,
shaquille rashaun o'neal,Louisiana State University (LSU),Boston Celtics,
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,252200
trent tucker,University of Minnesota,Chicago Bulls,689000
tyler christopher herro,University of Kentucky,Miami Heat,344.9
victor wembanyama,,San Antonio Spurs,
wardell stephen curry,Davidson,Golden State Warriors,252200
zach collins,Gonzaga Bulldogs,San Antonio Spurs,
zachary thomas lavine,UCLA,Chicago Bulls,689000
