area,city_name,gdp
400.739,Denver,
375.78,Portland,
46.9,San Francisco,
350,Philadelphia,
350,New Orleans,
,Chicago,689000000000.0
,Orlando,
14.2,Salt Lake City,
630,Toronto,
1341,Phoenix,362000000000.0
68.34,"Washington, D.C.",160472.0
125,Boston,
82.47,Cleveland,176000000000.0
637.4,Houston,
100.1,Sacramento,
142.87,Detroit,
324.0,Memphis,
312.0,Charlotte,
300.46,New York City,
976.15,Oklahoma City,
250.71,Milwaukee,102000000000.0
347.1,Atlanta,473000000000.0
368,Indianapolis,
385.8,Dallas,
1205.4,San Antonio,
550,Los Angeles,1025370000000.0
152.8,Minneapolis,
,Miami,344900000000.0
9.1,Inglewood,
