founded_year,ownership,team_name
1946,Atlanta Spirit LLC,atlanta hawks
1946,,boston celtics
1967,Joseph Tsai,brooklyn nets
1988,Gabe Plotkin and Rick Schnall,charlotte hornets
1970,Dan Gilbert,cleveland cavaliers
1980,Miriam Adelson and Patrick Dumont,dallas mavericks
1967,,denver nuggets
1967,,indiana pacers
1970,Steve Ballmer,los angeles clippers
1946,Jerry Buss (from 1979),los angeles lakers
1995,Robert J. Pera,memphis grizzlies
1988,Micky Arison,miami heat
1968,Wes Edens and Marc Lasry,milwaukee bucks
1989,Glen Taylor,minnesota timberwolves
1946,James L. Dolan,new york knicks
1967,"Professional Basketball Club LLC, a group of Oklahoma City investors led by Clay Bennett",oklahoma city thunder
1946,Harris Blitzer Sports & Entertainment (HBSE),philadelphia 76ers
1968,,phoenix suns
1970,Paul Allen,portland trail blazers
1923,,sacramento kings
1967,,san antonio spurs
1995,,toronto raptors
