founded_year,ownership,team_name,id,team.id
1946,Atlanta Spirit LLC,atlanta hawks,,
1946,Boston Basketball Partners L.L.C.,boston celtics,,
2004,Ratner group,brooklyn nets,,
1985,Gabe Plotkin and Rick Schnall,charlotte hornets,,
1970,Dan Gilbert since March 2005,cleveland cavaliers,,
1980,Miriam Adelson and Patrick Dumont,dallas mavericks,,
1967,Stan Kroenke,denver nuggets,,
1967,Pacers Sports & Entertainment,indiana pacers,,
1970,Steve Ballmer,los angeles clippers,,
1946,Jeanie Buss,los angeles lakers,,
1995,Robert J. Pera,memphis grizzlies,,
1988,Carnival Cruise Lines,miami heat,,
1968,Edens and Lasry,milwaukee bucks,,
1989,Glen Taylor,minnesota timberwolves,,
1946,James Dolan,new york knicks,,
1967,$310 million,oklahoma city thunder,,
1946,Apollo Global Management,philadelphia 76ers,,
1968,Mat Ishbia,phoenix suns,,
1970,Vulcan Inc.,portland trail blazers,,
1985,Dyal Capital,sacramento kings,,
1967,Peter M. Holt and a group of 22 investors,san antonio spurs,,
1995,Maple Leaf Sports & Entertainment (MLSE),toronto raptors,,
