ownership,championship,founded_year,team_name
Atlanta Spirit LLC,1,1946,atlanta hawks
,18,1946,boston celtics
Gabe Plotkin and Rick Schnall,0,1988,charlotte hornets
,6,1966,chicago bulls
Dan Gilbert,1,1970,cleveland cavaliers
Miriam Adelson and Patrick Dumont,1,1980,dallas mavericks
,1,1967,denver nuggets
,3,1937,detroit pistons
,7,1946,golden state warriors
,2,1967,houston rockets
,3,1967,indiana pacers
Steve Ballmer,0,1970,los angeles clippers
Jerry Buss (from 1979),17,1946,los angeles lakers
Micky Arison,3,1988,miami heat
Wes Edens and Marc Lasry,2,1968,milwaukee bucks
James L. Dolan,2,1946,new york knicks
"Professional Basketball Club LLC, a group of Oklahoma City investors led by Clay Bennett",0,1967,oklahoma city thunder
Harris Blitzer Sports & Entertainment (HBSE),3,1946,philadelphia 76ers
,0,1968,phoenix suns
Paul Allen,1,1970,portland trail blazers
,1,1923,sacramento kings
,5,1967,san antonio spurs
,0,1974,utah jazz
