ownership,championship,founded_year,team_name,id,team.id
Atlanta Spirit LLC,1.0,1946,atlanta hawks,,
Boston Basketball Partners L.L.C.,18.0,1946,boston celtics,,
Gabe Plotkin and Rick Schnall,,1985,charlotte hornets,,
Rocky Wirtz,6.0,1966,chicago bulls,,
Dan Gilbert since March 2005,1.0,1970,cleveland cavaliers,,
Miriam Adelson and Patrick Dumont,7.0,1980,dallas mavericks,,
Stan Kroenke,2.0,1967,denver nuggets,,
Tom Gores,4.0,1937,detroit pistons,,
Steve Kerr,5.0,1946,golden state warriors,,
Tilman Fertitta,2.0,1967,houston rockets,,
Pacers Sports & Entertainment,3.0,1967,indiana pacers,,
Steve Ballmer,,1970,los angeles clippers,,
Jeanie Buss,17.0,1946,los angeles lakers,,
Carnival Cruise Lines,6.0,1988,miami heat,,
Edens and Lasry,3.0,1968,milwaukee bucks,,
James Dolan,3.0,1946,new york knicks,,
$310 million,1.0,1967,oklahoma city thunder,,
Apollo Global Management,3.0,1946,philadelphia 76ers,,
Mat Ishbia,0.0,1968,phoenix suns,,
Vulcan Inc.,1.0,1970,portland trail blazers,,
Dyal Capital,1.0,1985,sacramento kings,,
Peter M. Holt and a group of 22 investors,7.0,1967,san antonio spurs,,
"Deciding the Jazz were no longer viable in New Orleans, Battistone decided to move elsewhere. After scouting several new homes, he decided on Salt Lake City, even though it was a smaller market.",0.0,1974,utah jazz,,
