nba_team,name,own_year,id,owner.id
Orlando Magic,daniel g devos,1991,,
Cleveland Cavaliers,daniel gilbert,2015,,
Denver Nuggets,enos stanley kroenke,2022,,
New Orleans Pelicans,gayle marie lajaunie bird benson,2017,,
Indiana Pacers,herbert simon,1983,,
New York Knicks,james lawrence dolan,1999,,
Chicago Bulls,jerry michael reinsdorf,2009,,
Brooklyn Nets,joseph chung-hsin tsai,2019,,
Golden State Warriors,joseph steven lacob,2010,,
Philadelphia 76ers,joshua jordan harris,2023,,
Dallas Mavericks,mark cuban,2023,,
Miami Heat,micky arison,1995,,
Los Angeles Clippers,steven anthony ballmer,2014,,
Houston Rockets,tilman joseph fertitta,2017,,
Detroit Pistons,tom gores,2011,,
