age,nba_team,name
60.0,Detroit Pistons,Tom Gores
88.0,Chicago Bulls,Jerry Reinsdorf
77.0,New Orleans Pelicans,Gayle Marie LaJaunie Bird Benson
78.0,Denver Nuggets,Stan Kroenke
59.0,Philadelphia 76ers,Joshua Jordan Harris
70.0,New York Knicks,James Lawrence Dolan
75.0,Miami Heat,Micky Arison
69.0,Golden State Warriors,Joseph Steven Lacob
68.0,Los Angeles Clippers,Steve Ballmer
,Orlando Magic,Daniel G. DeVos
67.0,Dallas Mavericks,Mark Cuban
66.0,Houston Rockets,Tilman Joseph Fertitta
61.0,Brooklyn Nets,Joseph Tsai
,Oklahoma City Thunder,Clayton Ike Bennett
90.0,Indiana Pacers,Herbert Simon
