founded_year,team_name,name,team
1946,Golden State Warriors,Buddy Hield,Golden State Warriors
1946,Los Angeles Lakers,D'Angelo Russell,Los Angeles Lakers
1946,Philadelphia 76ers,Joel Hans Embiid,Philadelphia 76ers
1946,Philadelphia 76ers,Paul Clifton Anthony George,Philadelphia 76ers
1980,Dallas Mavericks,Kyrie Irving,Dallas Mavericks
1946,Boston Celtics,Jayson Tatum,Boston Celtics
1946,Philadelphia 76ers,Caleb Martin,Philadelphia 76ers
1946,Golden State Warriors,Andrew Wiggins,Golden State Warriors
1946,Philadelphia 76ers,Max Fiedler,Philadelphia 76ers
1946,New York Knicks,OG Anunoby Jr.,New York Knicks
1985,Sacramento Kings,William Derek Grimm,Sacramento Kings
1946,Boston Celtics,Jaylen Brown,Boston Celtics
1967,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1946,Boston Celtics,Jrue Holiday,Boston Celtics
1946,Los Angeles Lakers,Austin Tyler Reaves,Los Angeles Lakers
1988,Miami Heat,Kevin Love,Miami Heat
1968,Milwaukee Bucks,Giannis Antetokounmpo,Milwaukee Bucks
1946,Golden State Warriors,Stephen Curry,Golden State Warriors
1946,Boston Celtics,Al Horford,Boston Celtics
1988,Miami Heat,Tyler Herro,Miami Heat
1988,Miami Heat,Duncan McBryde Robinson,Miami Heat
1946,Los Angeles Lakers,Anthony Marshon Davis Jr.,Los Angeles Lakers
1995,Memphis Grizzlies,Kyle Anderson,Memphis Grizzlies
1937,Detroit Pistons,Cade Cunningham,Detroit Pistons
1946,Los Angeles Lakers,LeBron Raymone James Sr.,Los Angeles Lakers
1988,Miami Heat,Jimmy Butler,Miami Heat
1946,Golden State Warriors,Kevon Looney,Golden State Warriors
1966,Chicago Bulls,Zach LaVine,Chicago Bulls
1937,Detroit Pistons,Jaden Edward Dhananjay Ivey,Detroit Pistons
1946,Philadelphia 76ers,Kyle Lowry,Philadelphia 76ers
1985,Charlotte Hornets,Michael Jordan,Charlotte Hornets
1968,Phoenix Suns,Devin Booker,Phoenix Suns
1946,Golden State Warriors,Brandan Keith Wright,Golden State Warriors
1946,Golden State Warriors,Draymond Jamal Green,Golden State Warriors
1967,San Antonio Spurs,Zach Collins,San Antonio Spurs
1946,Golden State Warriors,Jonathan Kuminga,Golden State Warriors
1966,Chicago Bulls,Lonzo Ball,Chicago Bulls
1988,Miami Heat,Jaime Jaquez Jr.,Miami Heat
1937,Detroit Pistons,Ausar Thompson,Detroit Pistons
1946,New York Knicks,Jalen Brunson,New York Knicks
1946,Los Angeles Lakers,Kobe Bean Bryant,Los Angeles Lakers
1967,San Antonio Spurs,Chris Paul,San Antonio Spurs
1967,San Antonio Spurs,Harrison Bryce Jordan Barnes,San Antonio Spurs
1988,Miami Heat,Bam Adebayo,Miami Heat
1946,New York Knicks,"Kenneth ""Apple"" Green",New York Knicks
1946,New York Knicks,Don Anielak,New York Knicks
1946,New York Knicks,Bill Fitch,New York Knicks
1937,Detroit Pistons,Jarrett Matthew Jack,Detroit Pistons
1937,Detroit Pistons,Isiah Thomas,Detroit Pistons
1970,Portland Trail Blazers,Daniel Edward Anderson,Portland Trail Blazers
1966,Chicago Bulls,Trent Tucker,Chicago Bulls
1967,San Antonio Spurs,Schintzius,San Antonio Spurs
1967,Houston Rockets,Vernon Maxwell,Houston Rockets
1967,San Antonio Spurs,Tim Duncan,San Antonio Spurs
1967,San Antonio Spurs,Walter Berry,San Antonio Spurs
1985,Charlotte Hornets,Tony Delk,Charlotte Hornets
1967,Houston Rockets,Derrick Chievous,Houston Rockets
1967,Indiana Pacers,Rik Smits,Indiana Pacers
1989,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1946,New York Knicks,Gallatin,New York Knicks
1967,Indiana Pacers,Darnell Hillman,Indiana Pacers
1970,Cleveland Cavaliers,Mark Price,Cleveland Cavaliers
1966,Chicago Bulls,Kurt Vincent Thomas,Chicago Bulls
2004,Brooklyn Nets,Kevin Durant,Brooklyn Nets
1968,Phoenix Suns,William Bedford,Phoenix Suns
1946,Atlanta Hawks,Steve Smith,Atlanta Hawks
1970,Portland Trail Blazers,Rod Strickland,Portland Trail Blazers
1946,Boston Celtics,Stevens,Boston Celtics
1946,Golden State Warriors,Stephen Douglas Kerr,Golden State Warriors
1946,Boston Celtics,Dino Rađa,Boston Celtics
1970,Portland Trail Blazers,Jabari Walker,Portland Trail Blazers
1980,Dallas Mavericks,Erick Strickland,Dallas Mavericks
2004,Brooklyn Nets,Jamal Crawford,Brooklyn Nets
1989,Minnesota Timberwolves,Donyell Lamar Marshall,Minnesota Timberwolves
1967,Houston Rockets,John Harding Lucas II,Houston Rockets
1946,Boston Celtics,Garfield Smith,Boston Celtics
1946,Boston Celtics,Dennis Schröder,Boston Celtics
1980,Dallas Mavericks,Monti Davis,Dallas Mavericks
1946,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1966,Chicago Bulls,Andre Drummond,Chicago Bulls
