championship,location,age,olympic_gold_medals,name
0,Los Angeles,54,,aaron williams
7,San Francisco,30,0.0,andrew christian wiggins
0,Minneapolis,24,1.0,anthony edwards
17,Los Angeles,32,2.0,anthony marshon davis
17,Los Angeles,27,0.0,austin tyler reaves
2,Houston,37,0.0,brandan keith wright
3,Detroit,24,0.0,cade parker cunningham
3,Philadelphia,30,0.0,caleb martin
2,New York City,88,0.0,calvin ramsey
7,San Francisco,33,0.0,"chavano rainer ""buddy"" hield"
5,San Antonio,40,2.0,christopher emmanuel paul
17,Los Angeles,29,0.0,d'angelo russell
7,San Francisco,76,0.0,darnell hillman
0,Phoenix,28,2.0,devin armani booker
7,San Francisco,35,2.0,draymond jamal green
3,Miami,31,0.0,duncan mcbryde robinson
3,Miami,28,2.0,"edrice femi ""bam"" adebayo"
2,Milwaukee,51,0.0,erick strickland
18,Boston,80,0.0,garfield smith
2,Milwaukee,31,0.0,giannis sina ugo antetokounmpo
2,New York City,78,0.0,greg fillmore gregory paul fillmore
5,San Antonio,33,1.0,harrison bryce jordan barnes
3,Detroit,98,0.0,"harry junior ""the horse"" gallatin"
3,Detroit,64,0.0,isiah thomas
3,Miami,24,0.0,jaime jaquez
2,New York City,29,0.0,jalen marquis brunson
0,Brooklyn,45,0.0,jamal crawford
3,Detroit,41,0.0,jarrett jack
17,Los Angeles,66,0.0,jay vincent jay fletcher vincent
18,Boston,29,0.0,jaylen marselles brown
18,Boston,27,2.0,jayson christopher tatum
3,Miami,36,1.0,jimmy butler
3,Philadelphia,31,1.0,joel hans embiid
2,Houston,72,0.0,john harding lucas
7,San Francisco,23,0.0,jonathan malangu kuminga
18,Boston,35,2.0,jrue randall holiday
2,New York City,66,0.0,"kenneth ""apple"" green"
7,San Francisco,74,0.0,kermit washington
3,Miami,37,1.0,kevin wesley love
7,San Francisco,29,0.0,kevon grant looney
17,Los Angeles,47,2.0,kobe bean bryant
2,New York City,53,0.0,kurt thomas
7,San Francisco,33,0.0,kyle forman anderson
3,Philadelphia,39,1.0,kyle terrell lowry
1,Dallas,33,1.0,kyrie andrew irving
0,Memphis,28,0.0,lamar brandon stevens
17,Los Angeles,40,3.0,lebron raymone james
6,Chicago,28,0.0,lonzo anderson ball
17,Los Angeles,66,1.0,magic johnson
0,Orlando,61,0.0,mark price
3,Philadelphia,24,0.0,max berning fiedler
1,Dallas,67,0.0,"monti davis damon william ""monti"" davis"
2,New York City,28,0.0,"ogugua ""og"" anunoby"
3,Philadelphia,35,1.0,paul clifton anthony george
3,Indianapolis,59,0.0,rik smits
2,Houston,59,0.0,rodney strickland
18,Boston,53,1.0,shaquille rashaun o'neal
7,San Francisco,25,0.0,trayce jackson-davis
3,Miami,25,0.0,tyler christopher herro
1,Dallas,60,0.0,vernon maxwell
5,San Antonio,21,0.0,victor wembanyama
7,San Francisco,37,1.0,wardell stephen curry
5,San Antonio,28,0.0,zach collins
6,Chicago,30,1.0,zachary thomas lavine
