founded_year,team_name,name,team
1970,Los Angeles Clippers,aaron williams,Los Angeles Clippers
1946,Golden State Warriors,andrew christian wiggins,Golden State Warriors
1989,Minnesota Timberwolves,anthony edwards,Minnesota Timberwolves
1946,Los Angeles Lakers,anthony marshon davis,Los Angeles Lakers
1946,Los Angeles Lakers,austin tyler reaves,Los Angeles Lakers
1967,Houston Rockets,brandan keith wright,Houston Rockets
1937,Detroit Pistons,cade parker cunningham,Detroit Pistons
1946,Philadelphia 76ers,caleb martin,Philadelphia 76ers
1946,New York Knicks,calvin ramsey,New York Knicks
1946,Golden State Warriors,"chavano rainer ""buddy"" hield",Golden State Warriors
1967,San Antonio Spurs,christopher emmanuel paul,San Antonio Spurs
1946,Los Angeles Lakers,d'angelo russell,Los Angeles Lakers
1946,Golden State Warriors,darnell hillman,Golden State Warriors
1968,Phoenix Suns,devin armani booker,Phoenix Suns
1946,Golden State Warriors,draymond jamal green,Golden State Warriors
1988,Miami Heat,duncan mcbryde robinson,Miami Heat
1988,Miami Heat,"edrice femi ""bam"" adebayo",Miami Heat
1968,Milwaukee Bucks,erick strickland,Milwaukee Bucks
1946,Boston Celtics,garfield smith,Boston Celtics
1968,Milwaukee Bucks,giannis sina ugo antetokounmpo,Milwaukee Bucks
1946,New York Knicks,greg fillmore gregory paul fillmore,New York Knicks
1967,San Antonio Spurs,harrison bryce jordan barnes,San Antonio Spurs
1937,Detroit Pistons,"harry junior ""the horse"" gallatin",Detroit Pistons
1937,Detroit Pistons,isiah thomas,Detroit Pistons
1988,Miami Heat,jaime jaquez,Miami Heat
1946,New York Knicks,jalen marquis brunson,New York Knicks
1967,Brooklyn Nets,jamal crawford,Brooklyn Nets
1937,Detroit Pistons,jarrett jack,Detroit Pistons
1946,Los Angeles Lakers,jay vincent jay fletcher vincent,Los Angeles Lakers
1946,Boston Celtics,jaylen marselles brown,Boston Celtics
1946,Boston Celtics,jayson christopher tatum,Boston Celtics
1988,Miami Heat,jimmy butler,Miami Heat
1946,Philadelphia 76ers,joel hans embiid,Philadelphia 76ers
1967,Houston Rockets,john harding lucas,Houston Rockets
1946,Golden State Warriors,jonathan malangu kuminga,Golden State Warriors
1946,Boston Celtics,jrue randall holiday,Boston Celtics
1946,New York Knicks,"kenneth ""apple"" green",New York Knicks
1946,Golden State Warriors,kermit washington,Golden State Warriors
1988,Miami Heat,kevin wesley love,Miami Heat
1946,Golden State Warriors,kevon grant looney,Golden State Warriors
1946,Los Angeles Lakers,kobe bean bryant,Los Angeles Lakers
1946,New York Knicks,kurt thomas,New York Knicks
1946,Golden State Warriors,kyle forman anderson,Golden State Warriors
1946,Philadelphia 76ers,kyle terrell lowry,Philadelphia 76ers
1980,Dallas Mavericks,kyrie andrew irving,Dallas Mavericks
1995,Memphis Grizzlies,lamar brandon stevens,Memphis Grizzlies
1946,Los Angeles Lakers,lebron raymone james,Los Angeles Lakers
1966,Chicago Bulls,lonzo anderson ball,Chicago Bulls
1946,Los Angeles Lakers,magic johnson,Los Angeles Lakers
1989,Orlando Magic,mark price,Orlando Magic
1946,Philadelphia 76ers,max berning fiedler,Philadelphia 76ers
1980,Dallas Mavericks,"monti davis damon william ""monti"" davis",Dallas Mavericks
1946,New York Knicks,"ogugua ""og"" anunoby",New York Knicks
1946,Philadelphia 76ers,paul clifton anthony george,Philadelphia 76ers
1967,Indiana Pacers,rik smits,Indiana Pacers
1967,Houston Rockets,rodney strickland,Houston Rockets
1946,Boston Celtics,shaquille rashaun o'neal,Boston Celtics
1946,Golden State Warriors,trayce jackson-davis,Golden State Warriors
1988,Miami Heat,tyler christopher herro,Miami Heat
1980,Dallas Mavericks,vernon maxwell,Dallas Mavericks
1967,San Antonio Spurs,victor wembanyama,San Antonio Spurs
1946,Golden State Warriors,wardell stephen curry,Golden State Warriors
1967,San Antonio Spurs,zach collins,San Antonio Spurs
1966,Chicago Bulls,zachary thomas lavine,Chicago Bulls
