ownership,championship,founded_year
Atlanta Spirit LLC,1.0,1946
Peter Guber of Mandalay Entertainment and his partner Joe Lacob,8.0,1946
Tilman Fertitta,2.0,1970
Rick Carlisle,3.0,1967
Jeanie Buss,17.0,1946
Carnival Cruise Lines,1.0,1988
"Wes Edens, Marc Lasry, and Jamie Dinan",3.0,1968
Boston Basketball Partners L.L.C.,18.0,1946
Dolan,2.0,1946
Oklahoma City-based ownership group,1.0,1967
Richard DeVos,1.0,1986
Apollo Global Management,3.0,1946
Mat Ishbia,0.0,1968
Vulcan Inc.,1.0,1970
Vivek Ranadivé,1.0,1983
Peter M. Holt and a group of 22 investors,5.0,1967
"Deciding the Jazz were no longer viable in New Orleans, Battistone decided to move elsewhere. After scouting several new homes, he decided on Salt Lake City, even though it was a smaller market.",0.0,1974
Joseph Tsai,2.0,1967
Ted Leonsis through Monumental Sports & Entertainment,0.0,1963
Gabe Plotkin and Rick Schnall,,1988
Jerry Reinsdorf,6.0,1966
George and Gordon Gund,2.0,1970
Stan Kroenke,2023.0,1967
Tom Gores,4.0,1937
