nationality,count_all
,1
African-American,1
American,3
American professional basketball coach and former player,1
American professional basketball player,1
American-Chinese,1
American-born naturalized African American,1
American-born naturalized African-American,1
American-born naturalized American,26
American-born naturalized Australian,1
American-born naturalized Azerbaijani,8
American-born naturalized Canadian,1
American-born naturalized Hawaiian,1
American-born naturalized Lebanese-American,1
American-born naturalized Nigerian,1
British,1
Cameroonian-American,1
Canadian,2
Congolese,1
Croatian,1
Dominican-American,1
Dutch,1
French,1
Greek and Nigerian,1
Greek-American,1
Nigerian-American,1
