nationality,min_player_olympic_gold_medals
,
American,1.0
American professional basketball coach and former player,0.0
American-Chinese,0.0
American-born naturalized African American,1.0
American-born naturalized American,0.0
American-born naturalized Australian,2.0
American-born naturalized Azerbaijani,0.0
American-born naturalized Lebanese-American,0.0
Cameroonian-American,1.0
Canadian,0.0
Congolese,0.0
Dutch,
French,0.0
German,0.0
Greek and Nigerian,0.0
Nigerian-American,0.0
