founded_year,ownership,team_name
1946,Atlanta Spirit LLC,Atlanta Hawks
1946,,Boston Celtics
1967,Joseph Tsai,Brooklyn Nets
1988,Gabe Plotkin and Rick Schnall,Charlotte Hornets
1970,Dan Gilbert,Cleveland Cavaliers
1980,Miriam Adelson and Patrick Dumont,Dallas Mavericks
1967,,Denver Nuggets
1967,,Indiana Pacers
1970,Steve Ballmer,Los Angeles Clippers
1946,Jerry Buss (from 1979),Los Angeles Lakers
1995,Robert J. Pera,Memphis Grizzlies
1988,Micky Arison,Miami Heat
1968,Wes Edens and Marc Lasry,Milwaukee Bucks
1989,Glen Taylor,Minnesota Timberwolves
2002,Gayle Benson,New Orleans Pelicans
1946,James L. Dolan,New York Knicks
1967,"Professional Basketball Club LLC, a group of Oklahoma City investors led by Clay Bennett",Oklahoma City Thunder
1946,Harris Blitzer Sports & Entertainment (HBSE),Philadelphia 76ers
1968,,Phoenix Suns
1970,Paul Allen,Portland Trail Blazers
1923,,Sacramento Kings
1967,,San Antonio Spurs
1995,,Toronto Raptors
1961,Ted Leonsis,Washington Wizards
