age,nba_team,name
64,Oklahoma City Thunder,clay bennett
66,Orlando Magic,daniel g devos
76,Denver Nuggets,enos stanley kroenke
77,New Orleans Pelicans,gayle marie lajaunie bird benson
89,Indiana Pacers,herbert simon
68,New York Knicks,james lawrence dolan
88,Chicago Bulls,jerry michael reinsdorf
59,Brooklyn Nets,joseph chung-hsin tsai
59,Philadelphia 76ers,joshua jordan harris
65,Dallas Mavericks,mark cuban
68,Los Angeles Clippers,steven anthony ballmer
66,Houston Rockets,tilman joseph fertitta
60,Detroit Pistons,tom gores
