draft_pick,team_name,fiba_world_cup,location,name,id,player.id,team.id
9.0,Philadelphia 76ers,1.0,Philadelphia,andre jamal drummond,,,
1.0,Los Angeles Lakers,2.0,Crypto.com Arena,anthony marshon davis,,,
42.0,Los Angeles Lakers,2023.0,Crypto.com Arena,austin tyler reaves,,,
1.0,Detroit Pistons,1.0,Downtown Detroit,cade parker cunningham,,,
5.0,Detroit Pistons,1.0,Downtown Detroit,jaden edward dhananjay ivey,,,
2.0,Phoenix Suns,2.0,Phoenix,kevin wayne durant,,,
1.0,Dallas Mavericks,2.0,Dallas,kyrie andrew irving,,,
25.0,Cleveland Cavaliers,1994.0,Cleveland,mark price,,,
2.0,Indiana Pacers,1986.0,Indianapolis,rik smits,,,
1.0,Orlando Magic,1.0,Orlando,shaquille rashaun o'neal,,,
7.0,Golden State Warriors,3.0,Oakland,wardell stephen curry,,,
