age,nba_team,name,id,owner.id
,Oklahoma City Thunder,clay bennett,,
65.0,Orlando Magic,daniel g devos,,
,Denver Nuggets,enos stanley kroenke,,
77.0,New Orleans Pelicans,gayle marie lajaunie bird benson,,
90.0,Indiana Pacers,herbert simon,,
,New York Knicks,james lawrence dolan,,
88.0,Chicago Bulls,jerry michael reinsdorf,,
,Brooklyn Nets,joseph chung-hsin tsai,,
59.0,Washington Commanders,joshua jordan harris,,
,Dallas Mavericks,mark cuban,,
68.0,Los Angeles Clippers,steven anthony ballmer,,
66.0,Houston Rockets,tilman joseph fertitta,,
,Detroit Pistons,tom gores,,
