draft_pick,team_name,fiba_world_cup,location,name
9.0,Philadelphia 76ers,1.0,Philadelphia,andre jamal drummond
1.0,Los Angeles Lakers,1.0,Los Angeles,anthony marshon davis
0.0,Los Angeles Lakers,1.0,Los Angeles,austin tyler reaves
1.0,Detroit Pistons,1.0,Detroit,cade parker cunningham
5.0,Detroit Pistons,1.0,Detroit,jaden edward dhananjay ivey
2.0,Phoenix Suns,1.0,Phoenix,kevin wayne durant
1.0,Dallas Mavericks,1.0,Dallas,kyrie andrew irving
25.0,Orlando Magic,1.0,Orlando,mark price
2.0,Indiana Pacers,1.0,Indianapolis,rik smits
1.0,Boston Celtics,1.0,Boston,shaquille rashaun o'neal
7.0,Golden State Warriors,2.0,San Francisco,wardell stephen curry
