championship,location,age,olympic_gold_medals,name,id,player.id,team.id
0.0,Salt Lake City,,,aaron williams,,,
3.0,Philadelphia,32.0,1.0,andre jamal drummond,,,
7.0,Oakland,30.0,0.0,andrew christian wiggins,,,
,Minneapolis,24.0,1.0,anthony edwards,,,
17.0,Crypto.com Arena,32.0,2.0,anthony marshon davis,,,
3.0,Downtown Detroit,22.0,,ausar xlnc thompson,,,
17.0,Crypto.com Arena,25.0,0.0,austin tyler reaves,,,
7.0,Oakland,,0.0,brandan keith wright,,,
3.0,Downtown Detroit,23.0,0.0,cade parker cunningham,,,
6.0,Miami,28.0,0.0,caleb martin,,,
2.0,Manhattan,,,calvin ramsey,,,
7.0,Oakland,32.0,0.0,"chavano rainer ""buddy"" hield",,,
6.0,San Antonio,,2.0,christopher emmanuel paul,,,
17.0,Crypto.com Arena,27.0,0.0,d'angelo russell,,,
3.0,Indianapolis,,,darnell hillman,,,
2.0,Houston,,,derrick chievous,,,
0.0,Phoenix,28.0,2.0,devin armani booker,,,
7.0,Oakland,,2.0,draymond jamal green,,,
3.0,Philadelphia,,0.0,drew edward gordon,,,
6.0,Miami,31.0,0.0,duncan mcbryde robinson,,,
6.0,Miami,27.0,2.0,"edrice femi ""bam"" adebayo",,,
3.0,Dallas,,,erick strickland,,,
18.0,Boston,,,garfield smith,,,
2.0,Manhattan,,,greg fillmore gregory paul fillmore,,,
6.0,San Antonio,,1.0,harrison bryce jordan barnes,,,
2.0,Manhattan,,0.0,"harry junior ""the horse"" gallatin",,,
3.0,Downtown Detroit,,0.0,isiah thomas,,,
1.0,"Tualatin, Oregon",23.0,,jabari dominic walker,,,
3.0,Downtown Detroit,21.0,0.0,jaden edward dhananjay ivey,,,
6.0,Miami,24.0,0.0,jaime jaquez,,,
2.0,Manhattan,29.0,1.0,jalen marquis brunson,,,
1.0,Atlanta,25.0,0.0,jamal crawford,,,
2.0,Denver,41.0,,jarrett jack,,,
3.0,Dallas,,,jay vincent jay fletcher vincent,,,
18.0,Boston,28.0,0.0,jaylen marselles brown,,,
18.0,Boston,28.0,3.0,jayson christopher tatum,,,
6.0,Miami,35.0,1.0,jimmy butler,,,
3.0,Philadelphia,31.0,1.0,joel hans embiid,,,
2.0,Houston,,,john harding lucas,,,
7.0,Oakland,23.0,0.0,jonathan malangu kuminga,,,
2.0,Manhattan,,,"kenneth ""apple"" green",,,
18.0,Boston,26.0,0.0,kermit washington,,,
0.0,Phoenix,35.0,5.0,kevin wayne durant,,,
6.0,Miami,37.0,2.0,kevin wesley love,,,
7.0,Oakland,27.0,0.0,kevon grant looney,,,
17.0,Crypto.com Arena,23.0,2.0,kobe bean bryant,,,
6.0,Chicago,,,kurt thomas,,,
7.0,Oakland,32.0,0.0,kyle forman anderson,,,
3.0,Philadelphia,39.0,1.0,kyle terrell lowry,,,
3.0,Dallas,33.0,2.0,kyrie andrew irving,,,
18.0,Boston,28.0,0.0,lamar brandon stevens,,,
17.0,Crypto.com Arena,41.0,3.0,lebron raymone james,,,
6.0,Chicago,27.0,0.0,lonzo anderson ball,,,
2.0,Cleveland,,0.0,mark price,,,
3.0,Philadelphia,23.0,,max berning fiedler,,,
3.0,Philadelphia,,,"monti davis damon william ""monti"" davis",,,
2.0,Manhattan,28.0,0.0,"ogugua ""og"" anunoby",,,
3.0,Philadelphia,35.0,1.0,paul clifton anthony george,,,
3.0,Indianapolis,,0.0,rik smits,,,
1.0,"Tualatin, Oregon",,0.0,rodney strickland,,,
0.0,Orlando,,0.0,shaquille rashaun o'neal,,,
7.0,Oakland,25.0,0.0,trayce jackson-davis,,,
2.0,Manhattan,,,trent tucker,,,
6.0,Miami,25.0,0.0,tyler christopher herro,,,
2.0,Houston,,,vernon maxwell,,,
6.0,San Antonio,21.0,0.0,victor wembanyama,,,
7.0,Oakland,34.0,3.0,wardell stephen curry,,,
1.0,"Tualatin, Oregon",27.0,0.0,zach collins,,,
6.0,Chicago,28.0,1.0,zachary thomas lavine,,,
