position,nationality,age,name
Frontcourt,American,32,andre jamal drummond
,Canadian,30,andrew christian wiggins
Backcourt,American,24,anthony edwards
Frontcourt,American,32,anthony marshon davis
,American,31,antonius cleveland
,American,22,ausar xlnc thompson
,American,27,austin tyler reaves
Backcourt,American,30,brandon goodwin
,American,24,cade parker cunningham
Frontcourt,American,30,caleb martin
Backcourt,American,35,carrick felix
,Bahamian,33,"chavano rainer ""buddy"" hield"
Backcourt,American,29,d'angelo russell
Backcourt,American,28,devin armani booker
,American,29,devontae cacok
,American-born naturalized Azerbaijani,28,donta hall
,American,31,duncan mcbryde robinson
,American,28,"edrice femi ""bam"" adebayo"
Frontcourt,Greek and Nigerian,31,giannis sina ugo antetokounmpo
,American,23,jabari dominic walker
,American,23,jaden edward dhananjay ivey
,Nigerian-American,30,jahlil okafor
,Mexican-American,24,jaime jaquez
,American,29,jalen marquis brunson
,American,45,jamal crawford
,American,41,jarrett jack
Backcourt,American,29,jaylen marselles brown
,American,27,jayson christopher tatum
,American,36,jimmy butler
,Cameroonian-American,31,joel hans embiid
Frontcourt,Congolese,23,jonathan malangu kuminga
,American,35,jrue randall holiday
Frontcourt,American,74,kermit washington
Frontcourt,American,37,kevin wayne durant
,American,37,kevin wesley love
Frontcourt,American,29,kevon grant looney
Backcourt,American,47,kobe bean bryant
Frontcourt,Greek,35,kostas papanikolaou
,American-Chinese,33,kyle forman anderson
Backcourt,American,39,kyle terrell lowry
,American,33,kyrie andrew irving
,American,28,lamar brandon stevens
,American,36,lavoy allen
,American,40,lebron raymone james
Backcourt,American,28,lonzo anderson ball
,American,24,max berning fiedler
,American,34,michael carter-williams
Backcourt,American,62,michael jeffrey jordan
Backcourt,American,37,mychel thompson
,British,28,"ogugua ""og"" anunoby"
,American,35,paul clifton anthony george
,American,53,shawn christopher respert
,American,25,trayce jackson-davis
Backcourt,American,25,tyler christopher herro
Frontcourt,French,21,victor wembanyama
Backcourt,American,37,wardell stephen curry
,American,28,zach collins
,American,30,zachary thomas lavine
