area,city_name,gdp
347.1,atlanta,473000
125.0,boston,
808.1,charlotte,
,chicago,689000
213.6,cleveland,
999.3,dallas,
400.739,denver,
370.03,detroit,
1651.0,houston,
953.0,indianapolis,
24.0,inglewood,
1210.0,los angeles,
,memphis,
,miami,344.9
250.71,milwaukee,102000000000
152.8,minneapolis,
,new orleans,
778.2,new york city,
1606.7,oklahoma city,
,orlando,
,philadelphia,518.5
1341.0,phoenix,362000
375.78,portland,
259.0,sacramento,
286.0,salt lake city,
1205.4,san antonio,
121.0,san francisco,252200
630.2,toronto,
