championship,location,age,olympic_gold_medals
7.0,Oakland,32.0,0.0
17.0,Crypto.com Arena,27.0,0.0
3.0,Philadelphia,31.0,1.0
3.0,Philadelphia,35.0,1.0
3.0,Dallas,33.0,2.0
18.0,Boston,28.0,3.0
6.0,Miami,28.0,0.0
7.0,Oakland,30.0,0.0
3.0,Philadelphia,23.0,
2.0,Manhattan,28.0,0.0
18.0,Boston,28.0,0.0
6.0,San Antonio,21.0,0.0
17.0,Crypto.com Arena,25.0,0.0
6.0,Miami,37.0,2.0
7.0,Oakland,34.0,3.0
18.0,Boston,38.0,0.0
6.0,Miami,25.0,0.0
6.0,Miami,31.0,0.0
17.0,Crypto.com Arena,32.0,2.0
7.0,Oakland,32.0,0.0
3.0,Downtown Detroit,23.0,0.0
17.0,Crypto.com Arena,41.0,3.0
6.0,Miami,35.0,1.0
7.0,Oakland,27.0,0.0
6.0,Chicago,28.0,1.0
3.0,Downtown Detroit,21.0,0.0
3.0,Philadelphia,39.0,1.0
6.0,Chicago,62.0,4.0
0.0,Phoenix,28.0,2.0
7.0,Oakland,,0.0
7.0,Oakland,,2.0
1.0,"Tualatin, Oregon",27.0,0.0
7.0,Oakland,23.0,0.0
6.0,Chicago,27.0,0.0
6.0,Miami,24.0,0.0
3.0,Downtown Detroit,22.0,
2.0,Manhattan,29.0,1.0
0.0,Orlando,,0.0
17.0,Crypto.com Arena,23.0,2.0
6.0,San Antonio,,2.0
6.0,San Antonio,,1.0
6.0,Miami,27.0,2.0
3.0,Downtown Detroit,,
2.0,Manhattan,,
3.0,Dallas,,
1.0,Atlanta,,
3.0,Philadelphia,,0.0
2.0,Denver,41.0,
17.0,Crypto.com Arena,42.0,1.0
3.0,Downtown Detroit,,0.0
1.0,"Tualatin, Oregon",74.0,
2.0,Manhattan,,
6.0,San Antonio,,0.0
2.0,Houston,,
6.0,San Antonio,,0.0
1.0,"Tualatin, Oregon",,
,Charlotte,,
2.0,Manhattan,,
2.0,Houston,,
3.0,Indianapolis,,0.0
,Minneapolis,24.0,1.0
2.0,Manhattan,,0.0
3.0,Indianapolis,,
2.0,Cleveland,,0.0
6.0,Chicago,,
0.0,Phoenix,35.0,5.0
0.0,Salt Lake City,,
0.0,Phoenix,,
1.0,"Tualatin, Oregon",52.0,
1.0,"Tualatin, Oregon",,0.0
18.0,Boston,28.0,0.0
6.0,Chicago,,0.0
17.0,Crypto.com Arena,,
18.0,Boston,,
18.0,Boston,,0.0
1.0,"Tualatin, Oregon",23.0,
3.0,Dallas,,
1.0,Atlanta,25.0,0.0
18.0,Boston,26.0,0.0
,Minneapolis,,0.0
2.0,Manhattan,,
2.0,Houston,,
18.0,Boston,,
3.0,Philadelphia,23.0,0.0
2.0,Brooklyn,31.0,0.0
3.0,Philadelphia,,
2.0,Manhattan,60.0,
7.0,Oakland,25.0,0.0
3.0,Philadelphia,32.0,1.0
