nba_team,name,own_year
Detroit Pistons,Tom Gores,2015
Chicago Bulls,Jerry Reinsdorf,2009
New Orleans Pelicans,Gayle Benson,2018
Denver Nuggets,Stan Kroenke,1983
Washington Commanders,Joshua Jordan Harris,2023
New York Knicks,James Lawrence Dolan,1999
,Micky Arison,1995
Golden State Warriors,Joe Lacob,2010
Cleveland Cavaliers,Dan Gilbert,2015
Los Angeles Clippers,Steve Ballmer,2024
Orlando Magic,Daniel G. DeVos,1991
Dallas Mavericks,Mark Cuban,2011
Houston Rockets,Tilman Fertitta,2017
Brooklyn Nets,Joseph Tsai,2019
Oklahoma City Thunder,Clay Bennett,2006
Indiana Pacers,Herbert Simon,1983
