name,nationality,age,team_name,location,id,player.id,team.id
andre jamal drummond,American,31,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
andrew christian wiggins,Canadian,-1,Golden State Warriors,San Francisco,,,
anthony edwards,American,23,Minnesota Timberwolves,Minneapolis,,,
caleb martin,American,28,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
"chavano rainer ""buddy"" hield",Bahamian,31,Golden State Warriors,San Francisco,,,
dan anderson,American,19,Portland Trail Blazers,"Rose Quarter, Portland, Oregon",,,
darnell hillman,,74,Indiana Pacers,Indianapolis,,,
derek grimm,American,-1,Sacramento Kings,"Sacramento, California",,,
duncan mcbryde robinson,,29,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",,27,Miami Heat,Miami,,,
eric johnson jones,,-1,Utah Jazz,Salt Lake City,,,
gregory clinton foster,American,-1,Indiana Pacers,Indianapolis,,,
jabari dominic walker,American,20,Portland Trail Blazers,"Rose Quarter, Portland, Oregon",,,
jaime jaquez,Mexican-American,22,Miami Heat,Miami,,,
john harding lucas,American,-1,Houston Rockets,Houston,,,
jonathan malangu kuminga,Congolese,21,Golden State Warriors,San Francisco,,,
kevin wayne durant,American,36,Phoenix Suns,"Phoenix, Arizona",,,
kevin wesley love,American,35,Miami Heat,Miami,,,
kevon grant looney,American,28,Golden State Warriors,San Francisco,,,
kyle forman anderson,American-Chinese,31,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,38,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
lavoy allen,American,34,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
lonzo anderson ball,American,26,Chicago Bulls,Chicago,,,
max berning fiedler,American,-1,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
miles julian simon,American,-1,Phoenix Suns,"Phoenix, Arizona",,,
"monti davis damon william ""monti"" davis",,-1,Philadelphia 76ers,"Philadelphia, Pennsylvania",,,
rik smits,Dutch,56,Indiana Pacers,Indianapolis,,,
trayce jackson-davis,American,24,Golden State Warriors,San Francisco,,,
tyler christopher herro,American,24,Miami Heat,Miami,,,
vernon maxwell,American,57,Houston Rockets,Houston,,,
zachary thomas lavine,American,28,Chicago Bulls,Chicago,,,
