city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
chicago,Illinois,Chicago Bulls,Jamal Crawford,University of Michigan,,,,
chicago,Illinois,Chicago Bulls,,North Carolina Tar Heels,,,,
chicago,Illinois,Chicago Bulls,,UCLA,,,,
milwaukee,Wisconsin,Bucks,Anthony Avent,Seton Hall University,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia,,,,
salt lake city,Utah,Utah Jazz,,,,,,
san francisco,California,Golden State Warriors,Steve Kerr,Arizona,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana,,,,
san francisco,California,Golden State Warriors,Andrew Wiggins,Kansas Jayhawks,,,,
san francisco,California,Golden State Warriors,Kyle Anderson,UCLA,,,,
san francisco,California,Golden State Warriors,Kevon Looney,UCLA,,,,
san francisco,California,Golden State Warriors,,Michigan State Spartans,,,,
san francisco,California,Golden State Warriors,Jonathan Kuminga,,,,,
