name,position,team_name,founded_year,id,player.id,team.id
andre jamal drummond,center,Philadelphia 76ers,1946,,,
andrew christian wiggins,forward,Golden State Warriors,1946,,,
austin tyler reaves,guard,Los Angeles Lakers,1947,,,
bill hewitt,forward,Los Angeles Lakers,1947,,,
caleb martin,small forward,Philadelphia 76ers,1946,,,
"chavano rainer ""buddy"" hield",sharpshooter,Golden State Warriors,1946,,,
christopher emmanuel paul,point guard,San Antonio Spurs,1973,,,
d'angelo russell,point guard,Los Angeles Lakers,1947,,,
dan anderson,basketball player,Portland Trail Blazers,1970,,,
darnell hillman,forward,Indiana Pacers,1967,,,
derrick chievous,small forward,Houston Rockets,1967,,,
devin armani booker,shooting guard,Phoenix Suns,1968,,,
draymond jamal green,power forward,Golden State Warriors,1946,,,
drew edward gordon,power forward,Philadelphia 76ers,1946,,,
duncan mcbryde robinson,shooting guard,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",power forward,Miami Heat,1988,,,
eric johnson jones,basketball player,Utah Jazz,1974,,,
erick strickland,,Dallas Mavericks,1980,,,
giannis sina ugo antetokounmpo,Forward,Milwaukee Bucks,1968,,,
gregory clinton foster,center–power forward,Indiana Pacers,1967,,,
jamal crawford,shooting guard,Phoenix Suns,1968,,,
jarrett jack,point guard,Detroit Pistons,1937,,,
jaylen marselles brown,shooting guard / small forward,Boston Celtics,1946,,,
jayson christopher tatum,small forward,Boston Celtics,1946,,,
jimmy butler,small forward,Miami Heat,1988,,,
kermit washington,big defensive forward,Los Angeles Lakers,1947,,,
kevin wayne durant,small forward,Phoenix Suns,1968,,,
kevin wesley love,forward,Miami Heat,1988,,,
kevon grant looney,forward,Golden State Warriors,1946,,,
kyle forman anderson,point guard,Golden State Warriors,1946,,,
kyle terrell lowry,point guard,Philadelphia 76ers,1946,,,
kyrie andrew irving,Point Guard,Dallas Mavericks,1980,,,
lamar brandon stevens,professional basketball player,Memphis Grizzlies,-1,,,
lavoy allen,center,Philadelphia 76ers,1946,,,
miles julian simon,assistant coach,Phoenix Suns,1968,,,
"monti davis damon william ""monti"" davis",forward,Philadelphia 76ers,1946,,,
paul clifton anthony george,small forward,Philadelphia 76ers,1946,,,
rik smits,center,Indiana Pacers,1967,,,
steve kerr,head coach for the Golden State Warriors of the National Basketball Association (NBA),Golden State Warriors,1946,,,
vernon maxwell,shooting guard,Houston Rockets,1967,,,
zach collins,center,San Antonio Spurs,1973,,,
zachary thomas lavine,point guard,Chicago Bulls,1966,,,
