name,draft_pick,college,team_name
andre jamal drummond,9.0,University of Connecticut,Philadelphia 76ers
andrew christian wiggins,1.0,Kansas Jayhawks,Golden State Warriors
anthony edwards,1.0,Georgia,Minnesota Timberwolves
ausar xlnc thompson,5.0,,Detroit Pistons
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons
"chavano rainer ""buddy"" hield",6.0,Oklahoma Sooners,Golden State Warriors
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs
dan anderson,2.0,,Portland Trail Blazers
darnell hillman,8.0,San Jose State University,Golden State Warriors
derrick chievous,16.0,University of Missouri,Cleveland Cavaliers
devin armani booker,13.0,Kentucky Wildcats,Phoenix Suns
draymond jamal green,35.0,Michigan State University,Golden State Warriors
duncan mcbryde robinson,0.0,"Williams College, University of Michigan",Miami Heat
"edrice femi ""bam"" adebayo",14.0,University of Kentucky,Miami Heat
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
isiah thomas,2.0,Indiana Hoosiers,Detroit Pistons
jabari dominic walker,57.0,Colorado,Portland Trail Blazers
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons
jaime jaquez,18.0,UCLA,Miami Heat
jamal crawford,8.0,University of Michigan,Brooklyn Nets
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics
jayson christopher tatum,3.0,Duke University,Boston Celtics
jimmy butler,30.0,Marquette University,Miami Heat
joel hans embiid,3.0,University of Kansas,Philadelphia 76ers
john harding lucas,1.0,University of Maryland,Houston Rockets
jonathan malangu kuminga,7.0,,Golden State Warriors
jrue randall holiday,17.0,UCLA,Boston Celtics
kevin wayne durant,2.0,University of Texas at Austin,Phoenix Suns
kevin wesley love,5.0,UCLA,Miami Heat
kevon grant looney,30.0,UCLA,Golden State Warriors
kurt thomas,0.0,Texas Christian University,New York Knicks
kyle forman anderson,30.0,UCLA,Golden State Warriors
kyle terrell lowry,24.0,Villanova Wildcats,Philadelphia 76ers
kyrie andrew irving,1.0,Duke University,Dallas Mavericks
lavoy allen,50.0,Temple University,Philadelphia 76ers
lonzo anderson ball,2.0,UCLA,Chicago Bulls
mark price,25.0,Georgia Tech,Orlando Magic
paul clifton anthony george,10.0,Fresno State,Philadelphia 76ers
rik smits,2.0,Marist College,Indiana Pacers
steve kerr,50.0,University of Arizona,Golden State Warriors
tim duncan,1.0,Wake Forest University,San Antonio Spurs
trayce jackson-davis,57.0,Indiana Hoosiers,Golden State Warriors
tyler christopher herro,13.0,University of Kentucky,Miami Heat
vernon maxwell,2.0,University of Florida,Dallas Mavericks
victor wembanyama,1.0,,San Antonio Spurs
zach collins,10.0,Gonzaga Bulldogs,San Antonio Spurs
zachary thomas lavine,13.0,UCLA,Chicago Bulls
