name,position,city_name,population
Anthony Marshon Davis Jr.,Frontcourt,Los Angeles,"3,820,914"
Drew Edward Gordon,Frontcourt,Philadelphia,1603797
Anthony Edwards,Backcourt,Minneapolis,429954
Lamar Brandon Stevens,,Memphis,633104
Jabari Dominic Walker,,Portland,"652,503"
Trayce Jackson-Davis,,San Francisco,808988
Andre Jamal Drummond,Frontcourt,Philadelphia,1603797
"Chavano Rainer ""Buddy"" Hield",,San Francisco,808988
D'Angelo Russell,Backcourt,Los Angeles,"3,820,914"
Joel Hans Embiid,,Philadelphia,1603797
Kyrie Andrew Irving,,Dallas,1304379
Jayson Christopher Tatum,,Boston,675647
Caleb Martin,Frontcourt,Philadelphia,1603797
Andrew Christian Wiggins,,San Francisco,808988
Max Berning Fiedler,,Philadelphia,1603797
"Ogugua ""OG"" Anunoby Jr.",,New York City,8258035
Jaylen Marselles Brown,Backcourt,Boston,675647
Victor Wembanyama,Frontcourt,San Antonio,1434625
Austin Tyler Reaves,,Los Angeles,"3,820,914"
Giannis Sina Ugo Antetokounmpo,Frontcourt,Milwaukee,"577,222"
Tyler Christopher Herro,Backcourt,Miami,442241
Duncan McBryde Robinson,,Miami,442241
Kyle Forman Anderson,,San Francisco,808988
Cade Parker Cunningham,,Detroit,"639,111"
Kevon Grant Looney,Frontcourt,San Francisco,808988
Zachary Thomas LaVine,,Chicago,2746388
Jaden Edward Dhananjay Ivey,,Detroit,"639,111"
Devin Armani Booker,Backcourt,Phoenix,1662607
Zach Collins,,San Antonio,1434625
Jonathan Malangu Kuminga,Frontcourt,San Francisco,808988
Lonzo Anderson Ball,Backcourt,Chicago,2746388
Jaime Jaquez Jr.,,Miami,442241
Ausar XLNC Thompson,,Detroit,"639,111"
Jalen Marquis Brunson,,New York City,8258035
Harrison Bryce Jordan Barnes,,San Antonio,1434625
"Edrice Femi ""Bam"" Adebayo",,Miami,442241
