name,college,team_name,gdp
andre jamal drummond,University of Connecticut,Philadelphia 76ers,518.5
anthony edwards,Georgia,Minnesota Timberwolves,
d'angelo russell,Ohio State,Los Angeles Lakers,
darnell hillman,San Jose State University,Golden State Warriors,252200
derrick chievous,University of Missouri,Cleveland Cavaliers,
john harding lucas,University of Maryland,Houston Rockets,
kevin wesley love,UCLA,Miami Heat,344.9
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5
kyrie andrew irving,Duke University,Dallas Mavericks,
lavoy allen,Temple University,Philadelphia 76ers,518.5
mark price,Georgia Tech,Orlando Magic,
"monti davis damon william ""monti"" davis",Tennessee State University,Dallas Mavericks,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
rik smits,Marist College,Indiana Pacers,
tyler christopher herro,University of Kentucky,Miami Heat,344.9
vernon maxwell,University of Florida,Dallas Mavericks,
