name,college,team_name,gdp,city.id,id,player.id,team.id
andre jamal drummond,Connecticut Huskies,Philadelphia 76ers,518.5,,,,
anthony edwards,Georgia,Minnesota Timberwolves,28163.9,,,,
d'angelo russell,Ohio State Buckeyes,Los Angeles Lakers,1084739.0,,,,
darnell hillman,San Jose State University,Indiana Pacers,25410.0,,,,
derrick chievous,University of Missouri,Houston Rockets,21094.5,,,,
john harding lucas,University of Maryland,Houston Rockets,21094.5,,,,
kevin wesley love,UCLA,Miami Heat,34490000000.0,,,,
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5,,,,
kyrie andrew irving,,Cleveland Cavaliers,138300000000.0,,,,
lavoy allen,Temple University,Philadelphia 76ers,518.5,,,,
mark price,Georgia Tech,Cleveland Cavaliers,138300000000.0,,,,
"monti davis damon william ""monti"" davis",Tennessee State University,Philadelphia 76ers,518.5,,,,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5,,,,
rik smits,Marist College,Indiana Pacers,25410.0,,,,
tyler christopher herro,Kentucky,Miami Heat,34490000000.0,,,,
vernon maxwell,University of Florida,Houston Rockets,21094.5,,,,
