name,nationality,age,team_name,location
William Derek Grimm,American,-1,Sacramento Kings,"Sacramento, California"
Carrick Felix,American,-1,Cleveland Cavaliers,Rocket Mortgage FieldHouse
Gerald Madkins Jr.,,54,Los Angeles Clippers,Intuit Dome
Anthony Avent,American,-1,Bucks,Milwaukee
Lavoy Allen,American,34,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Dan Anderson,American,19,Portland Trail Blazers,"Rose Quarter, Portland, Oregon"
Miles Simon,American,-1,Phoenix Suns,"Phoenix, Arizona"
Vernon Maxwell,American,57,Houston Rockets,Houston
Rik Smits,Dutch,56,Indiana Pacers,Indianapolis
Anthony Edwards,American,23,Minnesota Timberwolves,Minneapolis
Darnell Hillman,,74,Indiana Pacers,Indianapolis
Kevin Durant,American,36,Phoenix Suns,"Phoenix, Arizona"
Fred Boyd,,-1,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Steve Smith,American,-1,Miami Heat,Miami
Shawn Respert,American,-1,Portland Trail Blazers,"Rose Quarter, Portland, Oregon"
Greg Foster,American,-1,Indiana Pacers,Indianapolis
Jabari Walker,American,20,Portland Trail Blazers,"Rose Quarter, Portland, Oregon"
John Lucas II,American,-1,Houston Rockets,Houston
Dennis Schröder,German,30,Brooklyn Nets,"Barclays Center, Brooklyn"
Monti Davis,,-1,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Eric Johnson,,-1,Utah Jazz,Salt Lake City
Trayce Jackson-Davis,American,24,Golden State Warriors,San Francisco
Andre Drummond,American,31,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Buddy Hield,Bahamian,31,Golden State Warriors,San Francisco
,American,-1,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Caleb Martin,American,28,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Andrew Wiggins,Canadian,-1,Golden State Warriors,San Francisco
Max Fiedler,American,-1,Philadelphia 76ers,"Philadelphia, Pennsylvania"
Kevin Love,American,35,Miami Heat,Miami
Tyler Herro,American,24,Miami Heat,Miami
Duncan Robinson,,29,Miami Heat,Miami
Kyle Anderson,American-Chinese,31,Golden State Warriors,San Francisco
,American,-1,Miami Heat,Miami
Kevon Looney,American,28,Golden State Warriors,San Francisco
Zach LaVine,American,28,Chicago Bulls,Chicago
Kyle Lowry,American,38,Philadelphia 76ers,"Philadelphia, Pennsylvania"
,American,-1,Golden State Warriors,San Francisco
Jonathan Kuminga,Congolese,21,Golden State Warriors,San Francisco
Lonzo Ball,American,26,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,22,Miami Heat,Miami
Bam Adebayo,,27,Miami Heat,Miami
