name,draft_pick,college,team_name
William Mark Price,25,Georgia Tech,Cleveland Cavaliers
,-1,University of Connecticut,Boston Celtics
Carrick Felix,33,Arizona State,Cleveland Cavaliers
Lavoy Allen,50,Temple University,Philadelphia 76ers
Isiah Thomas,2,Indiana Hoosiers,Detroit Pistons
Dan Anderson,2,,Portland Trail Blazers
Jahlil Okafor,3,Duke,Philadelphia 76ers
Dwayne Schintzius,24,University of Florida,San Antonio Spurs
,-1,University of Arizona,Phoenix Suns
Vernon Maxwell,28,University of Florida,Houston Rockets
Tim Duncan,1,Wake Forest University,San Antonio Spurs
,14,St. John's University,Portland Trail Blazers
Tony Delk,16,Kentucky,Charlotte Hornets
Derrick Chievous,16,University of Missouri,Houston Rockets
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,Georgia,Minnesota Timberwolves
Darnell Hillman,8,San Jose State University,Indiana Pacers
Kurt Thomas,28,Texas Christian University,Miami Heat
Kevin Durant,2,University of Texas at Austin,Brooklyn Nets
,-1,Xavier University,Utah Jazz
Fred Boyd,5,Oregon State University,Philadelphia 76ers
William Bedford,6,University of Memphis,Phoenix Suns
Steve Smith,5,Michigan State,Miami Heat
Shawn Respert,8,Michigan State,Portland Trail Blazers
Hamidou Diallo,45,University of Kentucky,Oklahoma City Thunder
,29,Indiana Hoosiers,Detroit Pistons
Steve Kerr,-1,Arizona,Phoenix Suns
Joseph Xavier Forte,21,University of North Carolina at Chapel Hill,Boston Celtics
Dino Rađa,40,,Boston Celtics
Jabari Walker,57,Colorado,Portland Trail Blazers
Jamal Crawford,8,University of Michigan,Chicago Bulls
,4,University of Connecticut,Minnesota Timberwolves
John Lucas II,1,University of Maryland,Houston Rockets
,10,,Boston Celtics
Michael Carter-Williams,11,Syracuse,Philadelphia 76ers
Dennis Schröder,17,,Brooklyn Nets
,21,Tennessee State University,Philadelphia 76ers
Trayce Jackson-Davis,57,Indiana,Golden State Warriors
Andre Drummond,9,University of Connecticut,Detroit Pistons
Buddy Hield,6,Oklahoma Sooners,Golden State Warriors
Joel Embiid,3,Kansas,Philadelphia 76ers
Paul George,10,Fresno State,Indiana Pacers
Kyrie Irving,1,Duke University,Brooklyn Nets
Jayson Tatum,3,Duke University,Boston Celtics
Andrew Wiggins,1,Kansas,Golden State Warriors
Jaylen Brown,3,California,Boston Celtics
Victor Wembanyama,0,,San Antonio Spurs
Jrue Holiday,17,UCLA Bruins,Boston Celtics
Kevin Love,5,UCLA,Cleveland Cavaliers
Al Horford,3,Florida,Atlanta Hawks
Tyler Herro,13,University of Kentucky,Miami Heat
Duncan Robinson,-1,"Williams College, Michigan",Miami Heat
Kyle Anderson,30,UCLA Bruins,Golden State Warriors
Cade Cunningham,1,Oklahoma State,Detroit Pistons
Jimmy Butler,30,Marquette University,Miami Heat
Kevon Looney,30,UCLA,Golden State Warriors
Zach LaVine,13,UCLA,Chicago Bulls
Jaden Ivey,5,Purdue Boilermakers,Detroit Pistons
Kyle Lowry,24,Villanova,Philadelphia 76ers
Michael Jordan,3,University of North Carolina at Chapel Hill,Chicago Bulls
Devin Booker,13,Kentucky,Phoenix Suns
Draymond Green,35,Michigan State Spartans,Golden State Warriors
Zach Collins,10,Gonzaga,San Antonio Spurs
Jonathan Kuminga,7,,Golden State Warriors
Lonzo Ball,2,UCLA,Chicago Bulls
Jaime Jaquez Jr.,18,UCLA Bruins,Miami Heat
Ausar Thompson,5,,Detroit Pistons
Chris Paul,4,Wake Forest University,San Antonio Spurs
Harrison Barnes,7,North Carolina Tar Heels,Golden State Warriors
Bam Adebayo,14,Kentucky,Miami Heat
