name,team_name,city_name,state_name
Carrick Felix,Cleveland Cavaliers,Cleveland,Ohio
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Darnell Hillman,Indiana Pacers,Indianapolis,Indiana
Steve Smith,Miami Heat,Miami,Florida
Steve Kerr,Golden State Warriors,San Francisco,California
Greg Foster,Indiana Pacers,Indianapolis,Indiana
Jamal Crawford,Chicago Bulls,Chicago,Illinois
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
Buddy Hield,Golden State Warriors,San Francisco,California
Andrew Wiggins,Golden State Warriors,San Francisco,California
Kevin Love,Miami Heat,Miami,Florida
Tyler Herro,Miami Heat,Miami,Florida
Duncan Robinson,Miami Heat,Miami,Florida
Kyle Anderson,Golden State Warriors,San Francisco,California
Jimmy Butler,Miami Heat,Miami,Florida
Kevon Looney,Golden State Warriors,San Francisco,California
Zach LaVine,Chicago Bulls,Chicago,Illinois
Michael Jordan,Chicago Bulls,Chicago,Illinois
Draymond Green,Golden State Warriors,San Francisco,California
Jonathan Malangu Kuminga,Golden State Warriors,San Francisco,California
Lonzo Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Bam Adebayo,Miami Heat,Miami,Florida
