name,position,city_name,population
Drew Gordon,power forward,Philadelphia,1603797
Lavoy Allen,center,Philadelphia,1603797
Vernon Maxwell,shooting guard,Houston,2314157
Derrick Chievous,small forward,Houston,2314157
Fred Boyd,basketball player,Philadelphia,1603797
Steve Smith,basketball player,Miami,442241
John Lucas II,professional basketball player,Houston,2314157
Monti Davis,forward,Philadelphia,1603797
Andre Drummond,center,Philadelphia,1603797
Paul George,small forward,Philadelphia,1603797
Caleb Martin,small forward,Philadelphia,1603797
Max Fiedler,basketball,Philadelphia,1603797
Kevin Love,forward,Miami,442241
Tyler Herro,shooting guard,Miami,442241
Jimmy Butler,small forward,Miami,442241
Zachary Thomas LaVine,point guard,Chicago,2746388
Lonzo Ball,Point Guard,Chicago,2746388
Jaime Jaquez Jr.,professional basketball player,Miami,442241
Bam Adebayo,power forward,Miami,442241
