name,team_name,city_name,state_name
andrew christian wiggins,Golden State Warriors,San Francisco,California
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California
darnell hillman,Golden State Warriors,San Francisco,California
draymond jamal green,Golden State Warriors,San Francisco,California
duncan mcbryde robinson,Miami Heat,Miami,Florida
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida
eric johnson jones,Utah Jazz,Salt Lake City,Utah
gregory clinton foster,Indiana Pacers,Indianapolis,Indiana
jaime jaquez,Miami Heat,Miami,Florida
jimmy butler,Miami Heat,Miami,Florida
jonathan malangu kuminga,Golden State Warriors,San Francisco,California
kevin wesley love,Miami Heat,Miami,Florida
kevon grant looney,Golden State Warriors,San Francisco,California
kyle forman anderson,Golden State Warriors,San Francisco,California
lonzo anderson ball,Chicago Bulls,Chicago,Illinois
rik smits,Indiana Pacers,Indianapolis,Indiana
steve kerr,Golden State Warriors,San Francisco,California
trayce jackson-davis,Golden State Warriors,San Francisco,California
tyler christopher herro,Miami Heat,Miami,Florida
zachary thomas lavine,Chicago Bulls,Chicago,Illinois
