name,position,city_name,population,city.id,id,player.id,team.id
andre jamal drummond,center,Philadelphia,1603797,,,,
andrew christian wiggins,forward,San Francisco,808988,,,,
caleb martin,small forward,Philadelphia,1603797,,,,
"chavano rainer ""buddy"" hield",guard,San Francisco,808988,,,,
drew edward gordon,power forward,Philadelphia,1603797,,,,
duncan mcbryde robinson,Guard,Miami,442241,,,,
"edrice femi ""bam"" adebayo",power forward,Miami,442241,,,,
harrison bryce jordan barnes,forward,San Antonio,1434625,,,,
jaime jaquez,professional basketball player,Miami,442241,,,,
kevon grant looney,forward/center,San Francisco,808988,,,,
kyle forman anderson,point guard,San Francisco,808988,,,,
lonzo anderson ball,Point Guard,Chicago,2746388,,,,
max berning fiedler,basketball,Philadelphia,1603797,,,,
trayce jackson-davis,power forward,San Francisco,808988,,,,
tyler christopher herro,shooting guard,Miami,442241,,,,
victor wembanyama,center forward,San Antonio,1434625,,,,
zach collins,center,San Antonio,1434625,,,,
zachary thomas lavine,point guard,Chicago,2746388,,,,
