name,college,team_name,gdp
andre jamal drummond,University of Connecticut,Philadelphia 76ers,518.5
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,252200
anthony edwards,Georgia,Minnesota Timberwolves,
brandan keith wright,University of North Carolina at Chapel Hill,Houston Rockets,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252200
d'angelo russell,Ohio State,Los Angeles Lakers,
darnell hillman,San Jose State University,Golden State Warriors,252200
derrick chievous,University of Missouri,Cleveland Cavaliers,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344.9
jaime jaquez,UCLA,Miami Heat,344.9
john harding lucas,University of Maryland,Houston Rockets,
jonathan malangu kuminga,,Golden State Warriors,252200
kermit washington,American University,Golden State Warriors,252200
kevin wesley love,UCLA,Miami Heat,344.9
kevon grant looney,UCLA,Golden State Warriors,252200
kyle forman anderson,UCLA,Golden State Warriors,252200
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5
kyrie andrew irving,Duke University,Dallas Mavericks,
lavoy allen,Temple University,Philadelphia 76ers,518.5
lonzo anderson ball,UCLA,Chicago Bulls,689000
mark price,Georgia Tech,Orlando Magic,
"monti davis damon william ""monti"" davis",Tennessee State University,Dallas Mavericks,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
rik smits,Marist College,Indiana Pacers,
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,252200
tyler christopher herro,University of Kentucky,Miami Heat,344.9
vernon maxwell,University of Florida,Dallas Mavericks,
zachary thomas lavine,UCLA,Chicago Bulls,689000
