name,college,team_name,gdp,city.id,id,player.id,team.id
andre jamal drummond,Connecticut Huskies,Philadelphia 76ers,518.5,,,,
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,252200.0,,,,
anthony edwards,Georgia,Minnesota Timberwolves,28163.9,,,,
brandan keith wright,University of North Carolina,Golden State Warriors,252200.0,,,,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252200.0,,,,
d'angelo russell,Ohio State Buckeyes,Los Angeles Lakers,1084739.0,,,,
darnell hillman,San Jose State University,Indiana Pacers,25410.0,,,,
derrick chievous,University of Missouri,Houston Rockets,21094.5,,,,
"edrice femi ""bam"" adebayo",Kentucky,Miami Heat,34490000000.0,,,,
jaime jaquez,UCLA Bruins,Miami Heat,34490000000.0,,,,
john harding lucas,University of Maryland,Houston Rockets,21094.5,,,,
jonathan malangu kuminga,,Golden State Warriors,252200.0,,,,
kermit washington,American University,Los Angeles Lakers,1084739.0,,,,
kevin wesley love,UCLA,Miami Heat,34490000000.0,,,,
kevon grant looney,UCLA,Golden State Warriors,252200.0,,,,
kyle forman anderson,UCLA,Golden State Warriors,252200.0,,,,
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5,,,,
kyrie andrew irving,,Cleveland Cavaliers,138300000000.0,,,,
lavoy allen,Temple University,Philadelphia 76ers,518.5,,,,
lonzo anderson ball,UCLA,Chicago Bulls,68900000000.0,,,,
mark price,Georgia Tech,Cleveland Cavaliers,138300000000.0,,,,
"monti davis damon william ""monti"" davis",Tennessee State University,Philadelphia 76ers,518.5,,,,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5,,,,
rik smits,Marist College,Indiana Pacers,25410.0,,,,
trayce jackson-davis,Indiana,Golden State Warriors,252200.0,,,,
tyler christopher herro,Kentucky,Miami Heat,34490000000.0,,,,
vernon maxwell,University of Florida,Houston Rockets,21094.5,,,,
zachary thomas lavine,UCLA Bruins,Chicago Bulls,68900000000.0,,,,
