city_name,state_name,team_name,name,college
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
San Francisco,California,Golden State Warriors,Steve Kerr,Arizona
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana
San Francisco,California,Golden State Warriors,Buddy Hield,Oklahoma Sooners
San Francisco,California,Golden State Warriors,Andrew Wiggins,Kansas Jayhawks
San Francisco,California,Golden State Warriors,Kyle Anderson,UCLA
San Francisco,California,Golden State Warriors,Kevon Looney,UCLA
San Francisco,California,Golden State Warriors,,Michigan State Spartans
San Francisco,California,Golden State Warriors,Jonathan Kuminga,
Chicago,Illinois,Chicago Bulls,Jamal Crawford,University of Michigan
Chicago,Illinois,Chicago Bulls,,North Carolina Tar Heels
Chicago,Illinois,Chicago Bulls,,UCLA
Salt Lake City,Utah,Utah Jazz,,
Milwaukee,Wisconsin,Bucks,Anthony Avent,Seton Hall University
Atlanta,Georgia,Atlanta Hawks,Steve Smith,Michigan State
