name,college,team_name,gdp
William Mark Price,Georgia Tech,Cleveland Cavaliers,138300000000.0
Brandan Wright,University of North Carolina,Golden State Warriors,252200.0
Carrick Felix,Arizona State,Cleveland Cavaliers,138300000000.0
Drew Gordon,New Mexico,Philadelphia 76ers,518.5
Lavoy Allen,Temple University,Philadelphia 76ers,518.5
Earvin Johnson,Michigan State University,Los Angeles Lakers,1084739.0
Vernon Maxwell,University of Florida,Houston Rockets,21094.5
Derrick Chievous,University of Missouri,Houston Rockets,21094.5
Rik Smits,Marist College,Indiana Pacers,25410.0
Anthony Edwards,Georgia,Minnesota Timberwolves,28163.9
Darnell Hillman,San Jose State University,Indiana Pacers,25410.0
Fred Boyd,Oregon State University,Philadelphia 76ers,518.5
Steve Smith,Michigan State,Miami Heat,34490000000.0
Hamidou Diallo,Kentucky,Oklahoma City Thunder,-1.0
D. J. White,Indiana Hoosiers,Oklahoma City Thunder,-1.0
Bill Hewitt,University of Southern California,Los Angeles Lakers,1084739.0
Aaron Jamal Crawford,University of Michigan,Chicago Bulls,68900000000.0
Kermit Washington,American University,Los Angeles Lakers,1084739.0
Donyell Marshall,University of Connecticut,Golden State Warriors,252200.0
John Lucas II,University of Maryland,Houston Rockets,21094.5
Michael Carter-Williams,Syracuse,Philadelphia 76ers,518.5
Monti Davis,Tennessee State University,Philadelphia 76ers,518.5
Eric Johnson,,Utah Jazz,-1.0
Trayce Jackson-Davis,Indiana,Golden State Warriors,252200.0
Andre Drummond,Connecticut Huskies,Philadelphia 76ers,518.5
Buddy Hield,Oklahoma Sooners,Golden State Warriors,252200.0
D'Angelo Russell,Ohio State Buckeyes,Los Angeles Lakers,1084739.0
Paul George,Fresno State,Philadelphia 76ers,518.5
Kyrie Irving,,Cleveland Cavaliers,138300000000.0
Caleb Martin,"NC State University, Nevada Wolf Pack",Philadelphia 76ers,518.5
Andrew Wiggins,Kansas Jayhawks,Golden State Warriors,252200.0
Max Fiedler,Rice,Philadelphia 76ers,518.5
Austin Tyler Reaves,"Wichita State, Oklahoma",Los Angeles Lakers,1084739.0
Kevin Love,UCLA,Miami Heat,34490000000.0
Tyler Herro,Kentucky,Miami Heat,34490000000.0
Duncan Robinson,Williams College and Michigan,Miami Heat,34490000000.0
Kyle Anderson,UCLA,Golden State Warriors,252200.0
,Marquette University,Miami Heat,34490000000.0
Kevon Looney,UCLA,Golden State Warriors,252200.0
Zach LaVine,UCLA Bruins,Chicago Bulls,68900000000.0
Kyle Lowry,Villanova Wildcats,Philadelphia 76ers,518.5
,North Carolina,Chicago Bulls,68900000000.0
Draymond,Michigan State Spartans,Golden State Warriors,252200.0
Jonathan Kuminga,,Golden State Warriors,252200.0
Lonzo Ball,UCLA,Chicago Bulls,68900000000.0
Jaime Jaquez Jr.,UCLA Bruins,Miami Heat,34490000000.0
Bam Adebayo,Kentucky,Miami Heat,34490000000.0
