founded_year,ownership,team_name
1946,,Atlanta Hawks
1946,,Boston Celtics
1967,Joseph Tsai,Brooklyn Nets
1988,,Charlotte Hornets
1966,,Chicago Bulls
1970,Dan Gilbert,Cleveland Cavaliers
1980,Mark Cuban (majority owner),Dallas Mavericks
1967,,Denver Nuggets
1937,Bill Davidson (until his death in 2009; subsequently ownership details not provided),Detroit Pistons
1946,,Golden State Warriors
1967,,Houston Rockets
1967,,Indiana Pacers
1970,Shelly Sterling,Los Angeles Clippers
1946,"Jack Kent Cooke (1960-1979), Jerry Buss (1979-2013)",Los Angeles Lakers
1995,Robert J. Pera,Memphis Grizzlies
1988,,Miami Heat
1968,,Milwaukee Bucks
1989,Glen Taylor,Minnesota Timberwolves
2002,,New Orleans Pelicans
1967,,Oklahoma City Thunder
1989,,Orlando Magic
1946,Harris Blitzer Sports & Entertainment (HBSE),Philadelphia 76ers
1968,,Phoenix Suns
1970,Paul Allen via Vulcan Inc.,Portland Trail Blazers
1946,,Sacramento Kings
1973,,San Antonio Spurs
1995,,Toronto Raptors
1974,,Utah Jazz
1963,Ted Leonsis through Monumental Sports & Entertainment,Washington Wizards
