age,nba_team,name
59,Detroit Pistons,Tom Gores
68,Los Angeles Clippers,Steve Ballmer
-1,Orlando Magic,Dan DeVos
58,Dallas Mavericks,Mark Cuban
66,Houston Rockets,Tilman Joseph Fertitta
-1,Brooklyn Nets,Joseph Tsai
63,Oklahoma City Thunder,Clay Bennett
-1,Indiana Pacers,Herbert Simon
88,Chicago Bulls,Jerry Reinsdorf
77,New Orleans Pelicans,Gayle Benson
-1,Denver Nuggets,Stan Kroenke
59,Philadelphia 76ers,Joshua Jordan Harris
-1,New York Knicks,James Lawrence Dolan
-1,Miami Heat,Micky Arison
-1,Golden State Warriors,Joe Lacob
