area,city_name,gdp
99.025,Denver,-1
48.4,Boston,-1
367.9,Indianapolis,-1
385.8,Dallas,-1
754.93,San Antonio,-1
469.0,Los Angeles,-1
59.0,Minneapolis,-1
-1.0,Miami,34490000000
9.1,Inglewood,-1
145.09,Portland,-1
46.9,San Francisco,312000
134.18,Philadelphia,-1
169.0,New Orleans,-1
-1.0,Chicago,689000000000
-1.0,Orlando,-1
110.4,Salt Lake City,-1
630.2,Toronto,-1
-1.0,Phoenix,-1
-1.0,Washington,-1
82.47,Cleveland,138300
637.4,Houston,-1
-1.0,Sacramento,-1
138.75,Detroit,-1
324.0,Memphis,-1
310.02,Charlotte,-1
302.643,New York,1776
620.34,Oklahoma City,-1
96.12,Milwaukee,102000000000
134.0,Atlanta,47300000000
