founded_year,team_name,name,team,id,player.id,team.id
1970,Los Angeles Clippers,aaron williams,Los Angeles Clippers,,,
1946,Philadelphia 76ers,andre jamal drummond,Philadelphia 76ers,,,
1946,Golden State Warriors,andrew christian wiggins,Golden State Warriors,,,
1989,Minnesota Timberwolves,anthony edwards,Minnesota Timberwolves,,,
1937,Detroit Pistons,ausar xlnc thompson,Detroit Pistons,,,
1946,Los Angeles Lakers,austin tyler reaves,Los Angeles Lakers,,,
1946,Golden State Warriors,brandan keith wright,Golden State Warriors,,,
1937,Detroit Pistons,cade parker cunningham,Detroit Pistons,,,
1946,Philadelphia 76ers,caleb martin,Philadelphia 76ers,,,
1946,Golden State Warriors,"chavano rainer ""buddy"" hield",Golden State Warriors,,,
1946,Los Angeles Lakers,d'angelo russell,Los Angeles Lakers,,,
1967,Indiana Pacers,darnell hillman,Indiana Pacers,,,
1946,Golden State Warriors,draymond jamal green,Golden State Warriors,,,
1946,Philadelphia 76ers,drew edward gordon,Philadelphia 76ers,,,
1988,Miami Heat,duncan mcbryde robinson,Miami Heat,,,
1988,Miami Heat,"edrice femi ""bam"" adebayo",Miami Heat,,,
1974,Utah Jazz,eric johnson jones,Utah Jazz,,,
1967,Indiana Pacers,gregory clinton foster,Indiana Pacers,,,
1937,Detroit Pistons,isiah thomas,Detroit Pistons,,,
1970,Portland Trail Blazers,jabari dominic walker,Portland Trail Blazers,,,
1937,Detroit Pistons,jaden edward dhananjay ivey,Detroit Pistons,,,
1988,Miami Heat,jaime jaquez,Miami Heat,,,
1967,Brooklyn Nets,jamal crawford,Brooklyn Nets,,,
1937,Detroit Pistons,jarrett jack,Detroit Pistons,,,
1946,Boston Celtics,jaylen marselles brown,Boston Celtics,,,
1946,Boston Celtics,jayson christopher tatum,Boston Celtics,,,
1988,Miami Heat,jimmy butler,Miami Heat,,,
1946,Philadelphia 76ers,joel hans embiid,Philadelphia 76ers,,,
1967,Houston Rockets,john harding lucas,Houston Rockets,,,
1946,Golden State Warriors,jonathan malangu kuminga,Golden State Warriors,,,
1946,Boston Celtics,jrue randall holiday,Boston Celtics,,,
1946,Los Angeles Lakers,kermit washington,Los Angeles Lakers,,,
1988,Miami Heat,kevin wesley love,Miami Heat,,,
1946,Golden State Warriors,kevon grant looney,Golden State Warriors,,,
1946,Golden State Warriors,kyle forman anderson,Golden State Warriors,,,
1946,Philadelphia 76ers,kyle terrell lowry,Philadelphia 76ers,,,
1980,Dallas Mavericks,kyrie andrew irving,Dallas Mavericks,,,
1995,Memphis Grizzlies,lamar brandon stevens,Memphis Grizzlies,,,
1946,Philadelphia 76ers,lavoy allen,Philadelphia 76ers,,,
1966,Chicago Bulls,lonzo anderson ball,Chicago Bulls,,,
1946,Philadelphia 76ers,max berning fiedler,Philadelphia 76ers,,,
1946,Philadelphia 76ers,paul clifton anthony george,Philadelphia 76ers,,,
1967,Indiana Pacers,rik smits,Indiana Pacers,,,
1946,Golden State Warriors,steve kerr,Golden State Warriors,,,
1946,Golden State Warriors,trayce jackson-davis,Golden State Warriors,,,
1988,Miami Heat,tyler christopher herro,Miami Heat,,,
1967,Houston Rockets,vernon maxwell,Houston Rockets,,,
1966,Chicago Bulls,zachary thomas lavine,Chicago Bulls,,,
