area,city_name,gdp,city.id,id
134.0,atlanta,47300000000.0,,
48.4,boston,-1.0,,
310.02,charlotte,-1.0,,
-1.0,chicago,68900000000.0,,
82.47,cleveland,138300000000.0,,
385.8,dallas,-1.0,,
5280.0,denver,-1.0,,
142.87,detroit,-1.0,,
637.4,houston,-1.0,,
368.0,indianapolis,-1.0,,
9.1,inglewood,-1.0,,
469.0,los angeles,100000000000.0,,
-1.0,miami,34490000000.0,,
96.8,milwaukee,10200000000.0,,
59.0,minneapolis,-1.0,,
-1.0,new orleans,-1.0,,
300.46,new york city,25871.0,,
620.34,oklahoma city,-1.0,,
-1.0,orlando,-1.0,,
-1.0,philadelphia,-1.0,,
517.9,phoenix,362.0,,
145.09,portland,-1.0,,
100.1,sacramento,-1.0,,
110.4,salt lake city,-1.0,,
650.93,san antonio,-1.0,,
46.9,san francisco,312000.0,,
630.2,toronto,-1.0,,
