mvp_awards,draft_pick,fiba_world_cup
0,-1,-1
-1,24,-1
-1,57,-1
-1,-1,-1
-1,25,-1
-1,-1,-1
-1,-1,-1
0,-1,-1
-1,10,-1
-1,-1,-1
-1,-1,-1
0,8,-1
-1,-1,-1
0,33,-1
0,-1,-1
-1,-1,-1
-1,11,-1
-1,-1,-1
-1,-1,-1
0,-1,-1
-1,15,-1
0,-1,-1
0,22,-1
-1,-1,-1
0,50,-1
-1,14,-1
3,1,-1
-1,-1,-1
0,2,-1
-1,2,-1
0,3,-1
-1,6,-1
-1,24,-1
-1,-1,-1
0,15,-1
0,43,-1
-1,14,-1
-1,-1,-1
0,16,-1
-1,13,-1
-1,-1,-1
-1,16,-1
-1,2,-1
0,-1,-1
-1,-1,-1
-1,8,-1
0,-1,-1
0,-1,0
-1,169,-1
0,-1,-1
0,-1,-1
-1,5,-1
-1,6,-1
0,8,-1
0,-1,-1
-1,35,-1
0,-1,-1
-1,-1,-1
0,2,-1
-1,-1,-1
0,45,-1
-1,29,-1
-1,35,-1
-1,-1,-1
0,21,-1
-1,40,-1
-1,53,-1
-1,-1,-1
0,57,-1
0,-1,-1
0,-1,-1
-1,-1,-1
0,-1,-1
0,27,-1
-1,44,-1
0,5,-1
0,4,-1
-1,-1,-1
-1,8,-1
-1,1,-1
-1,-1,-1
-1,10,-1
-1,-1,-1
0,11,-1
-1,-1,-1
-1,21,-1
0,-1,-1
-1,-1,-1
-1,57,-1
0,9,-1
0,2,-1
0,10,-1
3,1,-1
-1,-1,-1
-1,-1,-1
0,23,-1
0,3,-1
-1,1,-1
0,17,-1
-1,-1,-1
1,5,-1
0,3,-1
1,13,-1
0,-1,-1
0,30,-1
0,30,-1
0,30,-1
0,13,-1
0,-1,-1
6,3,-1
0,13,-1
2,35,-1
0,10,-1
-1,7,-1
0,2,-1
0,18,-1
2,5,-1
1,33,-1
3,4,-1
0,7,-1
0,14,-1
