position,nationality,age
,American,30
point guard,Serbian,29
,American,-1
Point guard,American,34
forward,Azerbaijan,25
,American,40
power forward/center,American,-1
power forward,American,30
shooting guard,American-Venezuelan,41
shooting guard,American,33
,American,34
,American,-1
,American,53
,American,-1
,,-1
,American,54
power forward,American,33
Point Guard,American,39
center,American,34
,American,85
Point Guard,American,44
,,-1
Point Guard,American,-1
forward,,28
shooting guard,American,53
center,American,43
playmaker,American,65
shooting guard,American,58
power forward,,37
forward,American,47
,American,49
forward,American,-1
forward,American,-1
small forward,American,56
center,Dutch,56
Shooting guard,American,22
center,American,88
,American,-1
forward,,71
defenceman,Canadian,-1
Point Guard,Greek-American,35
guard,,-1
power forward-center,American,49
Small Forward,American,36
power forward/center,American,49
,American,-1
,American,73
,American,-1
,American,42
,,-1
,American,-1
,American,26
,American,34
power forward,Slovenian,38
guard,American,-1
,American,25
power forward,,35
,American,-1
forward,American,34
,American,64
small forward,Greek,33
,American,20
,American,27
point guard,American,28
shooting guard,American,38
Guard,American,34
power forward,American,-1
,American,49
,,85
center,,29
,American,33
,American,-1
,American,78
,American,-1
Point Guard,American,32
,German,31
,American,78
forward,American,-1
,American,60
power forward,American,24
Center,American,31
,Bahamian,31
point guard,American,27
Center,,29
Small Forward,American,35
Point Guard,American,32
Small forward,American,26
small forward,American,28
forward,Canadian,29
,American,23
Guard,British,26
Shooting Guard/Small Forward,American,29
Center/Forward,French,19
Point Guard,American,34
Guard-Forward,American,25
Power Forward,American,35
forward,Greek and Nigerian,30
Center,Dominican,38
shooting guard,American,23
Shooting Guard,American,29
Point Guard,American-Chinese,30
Point Guard,American,23
Small Forward,American,34
center,American,-1
point guard,American,28
,American,21
Point Guard,American,37
Shooting guard,American,40
shooting guard,,27
power forward,American,35
center,American,26
small forward,Congolese,21
Point guard,American,27
forward,Mexican-American,22
,American,20
Point Guard,American,27
Point Guard,,39
,American,31
Power Forward,American,26
