championship,location,age,olympic_gold_medals
3,"Philadelphia, Pennsylvania",29,-1
3,"Phoenix, Arizona",-1,-1
3,"Indianapolis, Indiana",-1,-1
2,Minneapolis,-1,1
3,"Phoenix, Arizona",35,4
3,"Philadelphia, Pennsylvania",-1,-1
-1,"Memphis, Tennessee",26,-1
3,"Indianapolis, Indiana",54,-1
3,"Phoenix, Arizona",39,-1
2,New York City borough of Brooklyn,31,-1
3,"Philadelphia, Pennsylvania",-1,-1
2,Salt Lake City,56,-1
3,"Philadelphia, Pennsylvania",31,1
3,"Philadelphia, Pennsylvania",30,1
0,Greater Los Angeles area,34,1
3,"Philadelphia, Pennsylvania",28,-1
3,"Philadelphia, Pennsylvania",23,-1
3,"Philadelphia, Pennsylvania",-1,1
3,"Phoenix, Arizona",27,2
