founded_year,team_name,name,team
1946,Rochester Royals,,Rochester Royals
1946,Golden State Warriors,Brandan Wright,Golden State Warriors
1974,Utah Jazz,Carrick Felix,Utah Jazz
1946,Los Angeles Lakers,Marvin Roberts,Los Angeles Lakers
1946,Philadelphia 76ers,Drew Gordon,Philadelphia 76ers
1937,Detroit Pistons,Jarrett Jack,Detroit Pistons
1946,Philadelphia 76ers,Lavoy Allen,Philadelphia 76ers
1937,Detroit Pistons,Isiah Thomas,Detroit Pistons
1967,Houston Rockets,Vernon Maxwell,Houston Rockets
1967,Indiana Pacers,Rik Smits,Indiana Pacers
1989,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1967,Indiana Pacers,Darnell Hillman,Indiana Pacers
1970,Los Angeles Clippers,Aaron Williams,Los Angeles Clippers
1946,Philadelphia 76ers,,Philadelphia 76ers
1988,Miami Heat,Steve Smith,Miami Heat
1995,Memphis Grizzlies,Lamar Brandon Stevens,Memphis Grizzlies
1946,Golden State Warriors,Steve Kerr,Golden State Warriors
1967,Indiana Pacers,Gregory Clinton Foster,Indiana Pacers
1970,Portland Trail Blazers,Jabari Walker,Portland Trail Blazers
1967,Brooklyn Nets,Jamal Crawford,Brooklyn Nets
1946,Los Angeles Lakers,Kermit Washington,Los Angeles Lakers
1967,Houston Rockets,John Lucas II,Houston Rockets
1967,Brooklyn Nets,Dennis Schröder,Brooklyn Nets
1974,Utah Jazz,Eric Johnson,Utah Jazz
1946,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1946,Philadelphia 76ers,Andre Drummond,Philadelphia 76ers
1946,Golden State Warriors,Buddy Hield,Golden State Warriors
1946,Los Angeles Lakers,D'Angelo Russell,Los Angeles Lakers
1946,Philadelphia 76ers,Joel Embiid,Philadelphia 76ers
1946,Philadelphia 76ers,Paul George,Philadelphia 76ers
1980,Dallas Mavericks,Kyrie Irving,Dallas Mavericks
1946,Boston Celtics,Jayson Tatum,Boston Celtics
1946,Philadelphia 76ers,Caleb Martin,Philadelphia 76ers
1946,Golden State Warriors,Andrew Wiggins,Golden State Warriors
1946,Philadelphia 76ers,Max Fiedler,Philadelphia 76ers
1946,Boston Celtics,Jaylen Brown,Boston Celtics
1946,Boston Celtics,Jrue Holiday,Boston Celtics
1946,Los Angeles Lakers,Austin Reaves,Los Angeles Lakers
1988,Miami Heat,Kevin Love,Miami Heat
1946,Boston Celtics,Al Horford,Boston Celtics
1988,Miami Heat,Tyler Christopher Herro,Miami Heat
1988,Miami Heat,Duncan Robinson,Miami Heat
1946,Golden State Warriors,Kyle Anderson,Golden State Warriors
1937,Detroit Pistons,Cade Cunningham,Detroit Pistons
1988,Miami Heat,Jimmy Butler,Miami Heat
1946,Golden State Warriors,Kevon Looney,Golden State Warriors
1966,Chicago Bulls,Zachary Thomas LaVine,Chicago Bulls
1937,Detroit Pistons,Jaden Ivey,Detroit Pistons
1946,Philadelphia 76ers,Kyle Lowry,Philadelphia 76ers
1966,Chicago Bulls,Michael Jordan,Chicago Bulls
1946,Golden State Warriors,Draymond Green,Golden State Warriors
1946,Golden State Warriors,Jonathan Kuminga,Golden State Warriors
1966,Chicago Bulls,Lonzo Ball,Chicago Bulls
1988,Miami Heat,Jaime Jaquez Jr.,Miami Heat
1937,Detroit Pistons,Ausar Thompson,Detroit Pistons
1988,Miami Heat,Bam Adebayo,Miami Heat
