team,min_olympic_gold_medals
,-1
AS Monaco,0
Boston Celtics,-1
Bursaspor Basketbol,-1
Cincinnati Royals,-1
Dallas Mavericks,0
Debreceni EAC,-1
Fort Wayne Pistons,-1
Gigantes de Carolina,0
Lokomotiv Kuban,0
Los Angeles Lakers,-1
Los Angeles Lakers; Detroit Pistons; Buffalo Braves; Chicago Bulls,-1
Maccabi Tel Aviv,-1
Memphis Grizzlies,0
Miami Heat,0
Montreal Canadiens,-1
New York Knicks,-1
New York Knicks/Baltimore Bullets,-1
Philadelphia 76ers,-1
Philadelphia Warriors,1
Phoenix Suns,-1
Rochester Royals,-1
Syracuse Nationals,-1
Utah Jazz,-1
Virtus Bologna,-1
Washington Bullets,-1
