name,nationality,age,team_name,location
andre jamal drummond,American,32,Philadelphia 76ers,Philadelphia
andrew christian wiggins,Canadian,30,Golden State Warriors,San Francisco
anthony edwards,American,24,Minnesota Timberwolves,Minneapolis
anthony marshon davis,American,32,Los Angeles Lakers,Los Angeles
ausar xlnc thompson,American,22,Detroit Pistons,Detroit
austin tyler reaves,American,27,Los Angeles Lakers,Los Angeles
cade parker cunningham,American,24,Detroit Pistons,Detroit
caleb martin,American,30,Philadelphia 76ers,Philadelphia
"chavano rainer ""buddy"" hield",Bahamian,33,Golden State Warriors,San Francisco
christopher emmanuel paul,American,40,San Antonio Spurs,San Antonio
d'angelo russell,American,29,Los Angeles Lakers,Los Angeles
dan anderson,American,74,Portland Trail Blazers,Portland
derek grimm,American,51,Sacramento Kings,Sacramento
devin armani booker,American,28,Phoenix Suns,Phoenix
don anielak,American,95,New York Knicks,New York City
draymond jamal green,American,35,Golden State Warriors,San Francisco
drew edward gordon,American,33,Philadelphia 76ers,Philadelphia
duncan mcbryde robinson,American,31,Miami Heat,Miami
"edrice femi ""bam"" adebayo",American,28,Miami Heat,Miami
eric johnson jones,American-Spanish,59,Utah Jazz,Salt Lake City
giannis sina ugo antetokounmpo,Greek and Nigerian,31,Milwaukee Bucks,Milwaukee
greg fillmore gregory paul fillmore,American,78,New York Knicks,New York City
harrison bryce jordan barnes,American,33,San Antonio Spurs,San Antonio
isiah thomas,American,64,Detroit Pistons,Detroit
jabari dominic walker,American,23,Portland Trail Blazers,Portland
jaden edward dhananjay ivey,American,23,Detroit Pistons,Detroit
jaime jaquez,Mexican-American,24,Miami Heat,Miami
jalen marquis brunson,American,29,New York Knicks,New York City
jarrett jack,American,41,Detroit Pistons,Detroit
jaylen marselles brown,American,29,Boston Celtics,Boston
jayson christopher tatum,American,27,Boston Celtics,Boston
jimmy butler,American,36,Miami Heat,Miami
joel hans embiid,Cameroonian-American,31,Philadelphia 76ers,Philadelphia
john harding lucas,American,72,Houston Rockets,Houston
jonathan malangu kuminga,Congolese,23,Golden State Warriors,San Francisco
jrue randall holiday,American,35,Boston Celtics,Boston
"kenneth ""apple"" green",American,66,New York Knicks,New York City
kevin wayne durant,American,37,Phoenix Suns,Phoenix
kevin wesley love,American,37,Miami Heat,Miami
kevon grant looney,American,29,Golden State Warriors,San Francisco
kyle forman anderson,American-Chinese,33,Golden State Warriors,San Francisco
kyle terrell lowry,American,39,Philadelphia 76ers,Philadelphia
kyrie andrew irving,American,33,Dallas Mavericks,Dallas
lamar brandon stevens,American,28,Memphis Grizzlies,Memphis
lebron raymone james,American,40,Los Angeles Lakers,Los Angeles
lonzo anderson ball,American,28,Chicago Bulls,Chicago
mark price,American,61,Orlando Magic,Orlando
max berning fiedler,American,24,Philadelphia 76ers,Philadelphia
"ogugua ""og"" anunoby",British,28,New York Knicks,New York City
paul clifton anthony george,American,35,Philadelphia 76ers,Philadelphia
tim duncan,American,50,San Antonio Spurs,San Antonio
trayce jackson-davis,American,25,Golden State Warriors,San Francisco
tyler christopher herro,American,25,Miami Heat,Miami
victor wembanyama,French,21,San Antonio Spurs,San Antonio
zach collins,American,28,San Antonio Spurs,San Antonio
zachary thomas lavine,American,30,Chicago Bulls,Chicago
