name,nationality,age,team_name,location,id,player.id,team.id
andre jamal drummond,American,31.0,Philadelphia 76ers,Philadelphia,,,
andrew christian wiggins,Canadian,-1.0,Golden State Warriors,,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,,-1.0,Los Angeles Lakers,Los Angeles,,,
ausar xlnc thompson,American,20.0,Detroit Pistons,Detroit,,,
austin tyler reaves,American,25.0,Los Angeles Lakers,Los Angeles,,,
cade parker cunningham,American,,Detroit Pistons,Detroit,,,
caleb martin,American,28.0,Philadelphia 76ers,Philadelphia,,,
"chavano rainer ""buddy"" hield",Bahamian,32.0,Golden State Warriors,,,,
christopher emmanuel paul,American,-1.0,San Antonio Spurs,San Antonio,,,
d'angelo russell,American,28.0,Los Angeles Lakers,Los Angeles,,,
dan anderson,American,,Portland Trail Blazers,Portland,,,
derek grimm,American,,Sacramento Kings,,,,
devin armani booker,,27.0,Phoenix Suns,"Phoenix, Arizona",,,
don anielak,American,,New York Knicks,,,,
draymond jamal green,American,34.0,Golden State Warriors,,,,
drew edward gordon,American,33.0,Philadelphia 76ers,Philadelphia,,,
duncan mcbryde robinson,,30.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American,26.0,Miami Heat,Miami,,,
eric johnson jones,American-Spanish,,Utah Jazz,Salt Lake City,,,
giannis sina ugo antetokounmpo,,30.0,Milwaukee Bucks,Milwaukee,,,
greg fillmore gregory paul fillmore,,-1.0,New York Knicks,,,,
harrison bryce jordan barnes,American,,San Antonio Spurs,San Antonio,,,
isiah thomas,American,-1.0,Detroit Pistons,Detroit,,,
jabari dominic walker,American,,Portland Trail Blazers,Portland,,,
jaden edward dhananjay ivey,American,21.0,Detroit Pistons,Detroit,,,
jaime jaquez,Mexican-American,22.0,Miami Heat,Miami,,,
jalen marquis brunson,American,27.0,New York Knicks,,,,
jarrett jack,American,-1.0,Detroit Pistons,Detroit,,,
jaylen marselles brown,American,-1.0,Boston Celtics,,,,
jayson christopher tatum,American,26.0,Boston Celtics,,,,
jimmy butler,American,34.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia,,,
john harding lucas,American,-1.0,Houston Rockets,Houston,,,
jonathan malangu kuminga,Congolese,-1.0,Golden State Warriors,,,,
jrue randall holiday,American,-1.0,Boston Celtics,,,,
"kenneth ""apple"" green",American,,New York Knicks,,,,
kevin wayne durant,American,35.0,Phoenix Suns,"Phoenix, Arizona",,,
kevin wesley love,American,35.0,Miami Heat,Miami,,,
kevon grant looney,American,27.0,Golden State Warriors,,,,
kyle forman anderson,American-Chinese,-1.0,Golden State Warriors,,,,
kyle terrell lowry,American,37.0,Philadelphia 76ers,Philadelphia,,,
kyrie andrew irving,,32.0,Dallas Mavericks,Dallas,,,
lamar brandon stevens,American,,Memphis Grizzlies,"Memphis, Tennessee",,,
lebron raymone james,,38.0,Los Angeles Lakers,Los Angeles,,,
lonzo anderson ball,American,26.0,Chicago Bulls,Chicago,,,
mark price,American,-1.0,Cleveland Cavaliers,Cleveland,,,
max berning fiedler,American,23.0,Philadelphia 76ers,Philadelphia,,,
"ogugua ""og"" anunoby",British,26.0,New York Knicks,,,,
paul clifton anthony george,American,-1.0,Philadelphia 76ers,Philadelphia,,,
tim duncan,American,-1.0,San Antonio Spurs,San Antonio,,,
trayce jackson-davis,American,23.0,Golden State Warriors,,,,
tyler christopher herro,American,24.0,Miami Heat,Miami,,,
victor wembanyama,French,20.0,San Antonio Spurs,San Antonio,,,
zach collins,American,26.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,30.0,Chicago Bulls,Chicago,,,
