city_name,state_name,team_name,name,college
chicago,Illinois,Chicago Bulls,Trent Tucker,University of Minnesota
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine,UCLA
dallas,Texas,Dallas Mavericks,Vernon Maxwell,University of Florida
detroit,Michigan,Detroit Pistons,Jarrett Jack,Georgia Tech
los angeles,California,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,Michigan State Spartans
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky
los angeles,California,Los Angeles Lakers,Philip Douglas Jackson,University of North Dakota
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA
miami,Florida,Miami Heat,Tyler Christopher Herro,University of Kentucky
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
miami,Florida,Miami Heat,Jimmy Butler III,Marquette University
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo",University of Kentucky
milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon,UCLA
philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen,Temple University
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond,University of Connecticut
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid,University of Kansas
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack"
san antonio,Texas,San Antonio Spurs,Tim Duncan,Wake Forest University
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,
