city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA,,,,
chicago,Illinois,Chicago Bulls,Lonzo Ball,UCLA,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke University,,,,
detroit,Michigan,Detroit Pistons,Jaden Ivey,Purdue,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes,,,,
los angeles,California,Los Angeles Lakers,Austin Reaves,"Wichita State, Oklahoma",,,,
los angeles,California,Los Angeles Lakers,LeBron James,Saint Vincent–St. Mary High School,,,,
miami,Florida,Miami Heat,Kevin Love,UCLA,,,,
miami,Florida,Miami Heat,Tyler Herro,University of Kentucky,,,,
miami,Florida,Miami Heat,Duncan Robinson,"Williams College, Michigan",,,,
miami,Florida,Miami Heat,Jimmy Butler,Marquette University,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA,,,,
miami,Florida,Miami Heat,Bam Adebayo,Kentucky,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Gordon,"UCLA, New Mexico",,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Drummond,Connecticut Huskies,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,Kansas,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State, Nevada",,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,Rice,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Lowry,Villanova,,,,
san antonio,Texas,San Antonio Spurs,Dwayne Schintzius,University of Florida,,,,
san antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga,,,,
