name,position,team_name,founded_year,id,player.id,team.id
andre jamal drummond,Center,Philadelphia 76ers,1946,,,
caleb martin,small forward,Philadelphia 76ers,1946,,,
"chavano rainer ""buddy"" hield",,Golden State Warriors,1946,,,
d'angelo russell,Point Guard,Los Angeles Lakers,1946,,,
devin armani booker,shooting guard,Phoenix Suns,1968,,,
draymond jamal green,Power forward,Golden State Warriors,1946,,,
drew edward gordon,power forward,Philadelphia 76ers,1946,,,
duncan mcbryde robinson,,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",,Miami Heat,1988,,,
giannis sina ugo antetokounmpo,forward,Milwaukee Bucks,1968,,,
jalen marquis brunson,Point Guard,New York Knicks,1946,,,
jayson christopher tatum,forward,Boston Celtics,1946,,,
jimmy butler,,Miami Heat,1988,,,
joel hans embiid,,Philadelphia 76ers,1946,,,
kevin wayne durant,,Phoenix Suns,1968,,,
kevin wesley love,,Miami Heat,1988,,,
kevon grant looney,Power forward/Centers,Golden State Warriors,1946,,,
kyle terrell lowry,Point Guard,Philadelphia 76ers,1946,,,
kyrie andrew irving,,Dallas Mavericks,1980,,,
lebron raymone james,Forward,Los Angeles Lakers,1946,,,
lonzo anderson ball,Point guard,Chicago Bulls,1966,,,
"ogugua ""og"" anunoby",,New York Knicks,1946,,,
zach collins,,San Antonio Spurs,1973,,,
zachary thomas lavine,,Chicago Bulls,1966,,,
