name,draft_pick,college,team_name,id,player.id,team.id
andre jamal drummond,9.0,Connecticut Huskies,Philadelphia 76ers,,,
andrew christian wiggins,1.0,Kansas,Golden State Warriors,,,
anthony edwards,1.0,Georgia,Minnesota Timberwolves,,,
anthony marshon davis,1.0,Kentucky,Los Angeles Lakers,,,
ausar xlnc thompson,5.0,,Detroit Pistons,,,
austin tyler reaves,42.0,"Wichita State, Oklahoma",Los Angeles Lakers,,,
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons,,,
"chavano rainer ""buddy"" hield",6.0,"Oklahoma Sooners, Sunrise Christian Academy",Golden State Warriors,,,
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,2.0,Ohio State Buckeyes,Los Angeles Lakers,,,
dan anderson,2.0,,Portland Trail Blazers,,,
derek grimm,50.0,University of Missouri,Sacramento Kings,,,
devin armani booker,13.0,Kentucky,Phoenix Suns,,,
don anielak,26.0,"Southwest Missouri State University, Moberly Junior College",New York Knicks,,,
draymond jamal green,35.0,Michigan State,Golden State Warriors,,,
"edrice femi ""bam"" adebayo",14.0,Kentucky,Miami Heat,,,
giannis sina ugo antetokounmpo,15.0,,Milwaukee Bucks,,,
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs,,,
isiah thomas,2.0,Indiana University,Detroit Pistons,,,
jabari dominic walker,57.0,Colorado Buffaloes,Portland Trail Blazers,,,
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons,,,
jaime jaquez,18.0,UCLA,Miami Heat,,,
jalen marquis brunson,33.0,Villanova University,New York Knicks,,,
jarrett jack,22.0,Georgia Tech,Detroit Pistons,,,
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics,,,
jayson christopher tatum,3.0,Duke,Boston Celtics,,,
jimmy butler,30.0,Marquette University,Miami Heat,,,
joel hans embiid,3.0,Kansas,Philadelphia 76ers,,,
john harding lucas,1.0,University of Maryland,Houston Rockets,,,
jonathan malangu kuminga,7.0,,Golden State Warriors,,,
jrue randall holiday,17.0,UCLA,Boston Celtics,,,
"kenneth ""apple"" green",11.0,Pan American University,New York Knicks,,,
kevin wayne durant,2.0,University of Texas at Austin,Phoenix Suns,,,
kevin wesley love,5.0,UCLA,Miami Heat,,,
kevon grant looney,30.0,UCLA,Golden State Warriors,,,
kyle forman anderson,30.0,UCLA,Golden State Warriors,,,
kyle terrell lowry,24.0,Villanova,Philadelphia 76ers,,,
kyrie andrew irving,1.0,Duke University,Dallas Mavericks,,,
lebron raymone james,1.0,Saint Vincent–St. Mary High School,Los Angeles Lakers,,,
lonzo anderson ball,2.0,UCLA,Chicago Bulls,,,
mark price,25.0,Georgia Tech,Cleveland Cavaliers,,,
"ogugua ""og"" anunoby",23.0,Indiana University,New York Knicks,,,
paul clifton anthony george,10.0,Fresno State,Philadelphia 76ers,,,
tim duncan,1.0,Wake Forest University,San Antonio Spurs,,,
trayce jackson-davis,57.0,Indiana,Golden State Warriors,,,
tyler christopher herro,13.0,University of Kentucky,Miami Heat,,,
victor wembanyama,1.0,,San Antonio Spurs,,,
zach collins,10.0,Gonzaga,San Antonio Spurs,,,
zachary thomas lavine,13.0,UCLA,Chicago Bulls,,,
