name,team_name,city_name,state_name,city.id,id,player.id,team.id
andre jamal drummond,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota,,,,
anthony marshon davis,Los Angeles Lakers,Los Angeles,California,,,,
ausar xlnc thompson,Detroit Pistons,Detroit,Michigan,,,,
austin tyler reaves,Los Angeles Lakers,Los Angeles,California,,,,
cade parker cunningham,Detroit Pistons,Detroit,Michigan,,,,
caleb martin,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas,,,,
d'angelo russell,Los Angeles Lakers,Los Angeles,California,,,,
dan anderson,Portland Trail Blazers,Portland,Oregon,,,,
drew edward gordon,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
eric johnson jones,Utah Jazz,Salt Lake City,,,,,
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas,,,,
isiah thomas,Detroit Pistons,Detroit,Michigan,,,,
jabari dominic walker,Portland Trail Blazers,Portland,Oregon,,,,
jaden edward dhananjay ivey,Detroit Pistons,Detroit,Michigan,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jarrett jack,Detroit Pistons,Detroit,Michigan,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
joel hans embiid,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
john harding lucas,Houston Rockets,Houston,Texas,,,,
kevin wesley love,Miami Heat,Miami,Florida,,,,
kyle terrell lowry,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
kyrie andrew irving,Dallas Mavericks,Dallas,Texas,,,,
lebron raymone james,Los Angeles Lakers,Los Angeles,California,,,,
lonzo anderson ball,Chicago Bulls,Chicago,Illinois,,,,
mark price,Cleveland Cavaliers,Cleveland,Ohio,,,,
max berning fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
paul clifton anthony george,Philadelphia 76ers,Philadelphia,Pennsylvania,,,,
tim duncan,San Antonio Spurs,San Antonio,Texas,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
victor wembanyama,San Antonio Spurs,San Antonio,Texas,,,,
zach collins,San Antonio Spurs,San Antonio,Texas,,,,
zachary thomas lavine,Chicago Bulls,Chicago,Illinois,,,,
